term,rank
submit account info,9.09242693380356
look submit account,9.09242693380356
base palembang palembang,9.003231181726067
palembang palembang open,9.003231181726067
info trump calling,8.816109764944471
explain ali basically,8.816109764944471
trump calling election,8.816109764944471
trump team big,8.816109764944471
calling election official,8.816109764944471
basically claim access,8.816109764944471
ali basically claim,8.816109764944471
bo vcs private,8.78835524227024
private info say,8.68629017955981
private info know,8.681057044192405
social medium company,8.658141031013207
disclose private info,8.64493925556715
check useful tip,8.642185132282378
also check useful,8.642185132282378
useful tip keep,8.642185132282378
may also check,8.642185132282378
tip keep post,8.642185132282378
schedule private tour,8.63845569129923
also recommend delete,8.605624507493145
say include exclude,8.567161657939867
bo say include,8.567161657939867
private bo say,8.567161657939867
make transaction may,8.417150201622773
transaction may also,8.417150201622773
easy click info,8.260736791781873
make easy click,8.260736791781873
public private sector,8.249985031292953
give away private,8.227200894349728
message account number,8.16954734558151
via private message,8.064037725313227
away private info,8.01406233694485
like private info,8.010259059807797
private info email,7.959595241583157
find info image,7.956989052291468
private info someone,7.90077092279468
reach private message,7.88953600332267
private info would,7.778371754387586
everyone private info,7.760099558762093
private info abt,7.719781329878439
share personal info,7.701451217594574
private info go,7.641473202330475
info send private,7.629887921898653
info keep private,7.607027700298696
tell private info,7.494880373187029
keep private info,7.426145488387011
find private info,7.335765933972093
see private info,7.3213797378351355
exclude info dm,7.321075459977718
include exclude info,7.321075459977718
private company right,7.2924825989690465
look please send,7.253966530049359
private limited closing,7.181305911387814
limited closing contact,7.181305911387814
closing contact email,7.181305911387814
know transaction make,7.114261047228951
let know transaction,7.114261047228951
lot private info,7.108734895333361
private info phone,7.045462184274279
lt info rr,7.037566232341856
share info private,7.024486640153353
give personal info,6.938814806517316
want info private,6.85284316484825
send private info,6.802720013327453
private company want,6.766564980863558
private contact info,6.758834943496275
want keep private,6.742478311554767
pin address date,6.734384988681299
number security pin,6.734384988681299
address date birth,6.734384988681299
security pin address,6.734384988681299
info social medium,6.719068149500455
private hospital group,6.630999886309634
contact info private,6.630276642242868
info schedule private,6.598456153732995
delete tweet since,6.593977040952202
number email address,6.56210199426857
keep thing private,6.466445198205465
private info well,6.447823075928667
take private info,6.431114034100213
name account number,6.384860045103965
assist full name,6.384860045103965
thank reach private,6.384860045103965
birth thank yugien,6.384860045103965
info good assist,6.384860045103965
message info good,6.384860045103965
good assist full,6.384860045103965
date birth thank,6.384860045103965
full name account,6.384860045103965
account number security,6.384860045103965
private info never,6.352894028874598
info email address,6.319598508154309
private info etc,6.319128847667627
please delete tweet,6.311815776571173
private info send,6.249635129070914
like look please,6.239442472222292
public watch hour,6.208133341889371
look private info,6.20526417425766
private message detail,6.200561716528335
show private info,6.185916099283238
private info million,6.16246114756181
info hope help,6.11393129376989
avail private bo,6.111821232507116
com info read,6.066294850350096
info read website,6.066294850350096
private info internet,6.053684935700906
google pay app,5.974226855427754
transaction make use,5.974226855427754
use google pay,5.974226855427754
pay app well,5.974226855427754
app well help,5.974226855427754
make use google,5.974226855427754
talk private conversation,5.9521861590247225
make private info,5.937382183052673
tweet since contain,5.900594066971995
address phone number,5.869405345536935
credit card info,5.835893214872768
since contain private,5.819150835357358
private limited location,5.803647182692392
private info see,5.7541454363489395
private info post,5.75379641404149
private info want,5.7525999050795225
name equality private,5.6987883186314
wedding support name,5.6987883186314
make cake gay,5.6987883186314
equality private social,5.6987883186314
company bakery force,5.6987883186314
force make cake,5.6987883186314
private company bakery,5.6987883186314
support name equality,5.6987883186314
company make tolerate,5.6987883186314
dissent political opinion,5.6987883186314
make tolerate dissent,5.6987883186314
bakery force make,5.6987883186314
gay wedding support,5.6987883186314
tolerate dissent political,5.6987883186314
opinion double standard,5.6987883186314
double standard real,5.6987883186314
medium company make,5.6987883186314
political opinion double,5.6987883186314
cake gay wedding,5.6987883186314
hospital group backs,5.675852950297146
covid deal treat,5.675852950297146
treat nhs patient,5.675852950297146
deal treat nhs,5.675852950297146
backs covid deal,5.675852950297146
group backs covid,5.675852950297146
include exclude ready,5.672961899556473
private account info,5.639338422999539
info rr jam,5.629403905612266
social medium platform,5.59477718093425
wifi free private,5.572034385643461
free wifi free,5.572034385643461
keep personal info,5.570138965363861
private info sell,5.557293735284846
get info private,5.52688878722099
give info let,5.513360051081511
let talk private,5.513360051081511
conversation use link,5.513360051081511
private conversation use,5.513360051081511
info let talk,5.513360051081511
photo private info,5.476733582404068
vcs private expo,5.46302613574703
room price info,5.46302613574703
price info dm,5.46302613574703
inc exc room,5.46302613574703
expo inc exc,5.46302613574703
private expo inc,5.46302613574703
exc room price,5.46302613574703
surabaya ready bo,5.46302613574703
private info whatsapp,5.456345553492923
info private showing,5.4502437829778065
address consider private,5.416986187243314
email address consider,5.416986187243314
private st lt,5.413601207154937
contact info assist,5.392477574384596
info assist thank,5.392477574384596
info via dm,5.3828323848769255
private info thank,5.38132384526024
protect private info,5.379140401086574
hack private info,5.373536989588835
private info use,5.360469424621972
right private info,5.350269636244848
medical info private,5.329792526646644
private info recommend,5.307287372128868
private message get,5.306433855957824
use link message,5.304249403418191
link message ready,5.304249403418191
safety recommend delete,5.298539677208916
datum private info,5.289680011432725
private info hack,5.2749503013466255
name private info,5.211440203723721
hide private info,5.2106733511026295
public private school,5.205328213055067
private company ban,5.160656499332492
private info address,5.147443180571964
say private info,5.086804746988733
info stay private,5.067044866781978
private identify info,5.0
private info hope,4.997405926184403
say open private,4.948550585638969
email address private,4.941491187666887
info private info,4.920675899226798
info via private,4.9179216312881415
share personal information,4.913541962440928
like give info,4.88865005245487
gemma dm info,4.865096214874292
dm info gemma,4.865096214874292
gemma uk kidzrus,4.865096214874292
info gemma uk,4.865096214874292
please dm info,4.851228815487296
private sensitive info,4.823800131529477
private info website,4.812475289337748
share email address,4.779292399076626
gather private info,4.777934242994432
also please delete,4.764491001026793
dm private message,4.755075757497172
person private info,4.729387178797198
private info family,4.727128059226906
private info pic,4.723416533721334
info recommend delete,4.719914469251077
one private info,4.7147353720474285
private info woman,4.70921791602019
delete private info,4.703001748349387
berbayar include exclude,4.697038533770011
vcs berbayar include,4.697038533770011
bo vcs berbayar,4.697038533770011
ready open bo,4.670941027683361
info set private,4.661349645816711
info make public,4.652497632591562
private info private,4.651016913081916
hi thank contact,4.588488675209475
private info one,4.581034070806448
well delete tweet,4.57391538643848
dm private info,4.567247139062307
private fb group,4.563849109518779
tweet share private,4.5628863299502465
private info still,4.5452860252866945
booking vcs nya,4.532890054232346
vcs nya say,4.532890054232346
include exclude room,4.532890054232346
nya say open,4.532890054232346
price rule dm,4.532890054232346
info price rule,4.532890054232346
exclude room info,4.532890054232346
room info price,4.532890054232346
readybogor booking vcs,4.532890054232346
rule dm wa,4.532890054232346
also email address,4.527405061304495
private info lmao,4.523267057727027
private info account,4.501154122662812
want share private,4.4918589386278125
private info please,4.48548292900966
top secret info,4.466035787741853
private public sector,4.460934028186221
info also private,4.433943837255068
private info think,4.430527298984871
private info anyone,4.426734381403907
info private please,4.410987383740481
thank bring attention,4.397925688196867
ids private info,4.38694192151762
go private info,4.386519616644661
since private info,4.376458281428187
public info private,4.373835862388764
special weekend info,4.359753217684975
bit info look,4.358452956501114
leak someone private,4.353898774945936
private info doxxe,4.331390751118902
anyone private info,4.300911237119662
email phone number,4.273383870047747
personal info share,4.244484856950853
contact email career,4.235492656674843
private info give,4.233968672752247
private info anyway,4.229287689683631
info phone number,4.225426019470943
suggest delete tweet,4.212169490943722
delete tweet share,4.211384007812294
private info sasaeng,4.2078164239115985
call info private,4.186207817395763
private info parler,4.185233790092946
doxe private info,4.181857207761598
private info good,4.177534498535621
private info steal,4.170839054627271
expose someone private,4.16412001027153
info please contact,4.152662256216478
solution private limited,4.141356468718741
avail slot bo,4.127871244447466
slot bo vcs,4.127871244447466
vcs private st,4.127871244447466
st lt info,4.127871244447466
private info company,4.123836431738364
use social medium,4.107385777834805
hope help clarify,4.079298245352002
private info need,4.075469868909048
private info tell,4.048735392125062
private web app,4.04145188432738
minute install private,4.04145188432738
install private web,4.04145188432738
private message bit,4.026695745231181
message bit info,4.026695745231181
info look se,4.026695745231181
wan na know,4.024644571741219
make account private,4.00679887119934
private life info,4.0
private company info,4.0
view image info,3.9693975795288265
name contact info,3.959857108253228
social medium site,3.9375655867770996
thank reach would,3.9340571572222074
private request tb,3.9217405831163745
private rust server,3.916954714772219
please send follow,3.9062699553720197
send follow info,3.9062699553720197
follow info via,3.9062699553720197
via dm private,3.9062699553720197
redact private info,3.901592451491173
much info private,3.8958828473502245
report leak private,3.873391289460374
hacker publish private,3.8488673176700807
account private info,3.826565924584495
suppose private info,3.8224740143956364
want keep info,3.8171282056969766
private promo special,3.8087057178548185
open private promo,3.8087057178548185
promo special weekend,3.8087057178548185
info private life,3.8040826874259883
lampung open bo,3.7998939617824683
palembang lampung open,3.7998939617824683
base palembang lampung,3.7998939617824683
click link info,3.7646876007980574
trouble apex server,3.746675367893705
stop leak private,3.746418856152417
minat kuy info,3.7422331680530223
kuy info dm,3.7422331680530223
exclude ready serius,3.7422331680530223
ready serius minat,3.7422331680530223
serius minat kuy,3.7422331680530223
social security number,3.741435582793527
contact number email,3.730961060088338
private info really,3.724416807867692
info like phone,3.7171054148116607
private financial info,3.71319286113769
private info anymore,3.703618362403501
private info anything,3.7034478497518535
visit website info,3.6869676606468382
private facebook group,3.6869676606468382
health info private,3.6869676606468382
private personal life,3.671430660970527
private voter info,3.671430660970527
private member club,3.671430660970527
info get leak,3.6689088906295035
happy share info,3.6581417901274436
rr dm wa,3.6512205765403998
info wan na,3.6184816335131305
wajib via tf,3.6145832954185395
include exclude area,3.6145832954185395
exclude area free,3.6145832954185395
hotel expo free,3.6145832954185395
via tf open,3.6145832954185395
expo free info,3.6145832954185395
hotel wajib via,3.6145832954185395
free info rr,3.6145832954185395
rr jam lt,3.6145832954185395
st top service,3.6145832954185395
area free hotel,3.6145832954185395
tf open private,3.6145832954185395
free hotel expo,3.6145832954185395
jam lt info,3.6145832954185395
let mind send,3.6043660402600355
sorry let mind,3.6043660402600355
private info fuck,3.598799209219316
private message assist,3.592704988034008
private info member,3.5918665051540284
upload private info,3.5911025462056956
private info without,3.5708713981485656
try get info,3.569096012097743
private company control,3.5675154498293313
info get steal,3.5576914150251726
share crime scene,3.5453984462369643
crime scene photo,3.5453984462369643
scene photo private,3.5453984462369643
claim share crime,3.5453984462369643
resign claim share,3.5453984462369643
hear please private,3.544642476453063
sorry hear please,3.544642476453063
harry private info,3.541717087751662
free vip info,3.5347597030973854
location contact info,3.519279405639175
private info include,3.5151566087712194
private info call,3.502464277081359
make sure private,3.4948375057632397
someone else private,3.4907095601908855
info gon na,3.4787064877308556
private info name,3.472371642158222
report private info,3.4648577018620026
private jet info,3.4635120088244147
