s_no,date,created_at,id_str,screen_name,user_location,geo-tagged_place,tweet_text,tweet_tokenized,tweet_cleaned,tweet_filtered,tweet_lemmatized,tweet_mentioned_organizations,tweet_tags_classified,tweet_orgs_classified,retweet_count,fav_count,hashtags,urls,mentions,vader_polarity
7,2021-01-24,Sun Jan 24 23:29:08 +0000 2021,1353485011815698434,microchuu, 6TEEN ✩ 🇯🇲 🇨🇳 ✩ CARRD BYF,Not Geo-tagged,b'@kvbbii @RlACOOLEST that was very private info',$MENTION$ $MENTION$ that was very private info,that was very private info,private info,private info,[],{},{},0,0,[],,"['avi avi avi avi avi avi', 'jackie luv bot']",0.0
4,2021-01-24,Sun Jan 24 23:44:56 +0000 2021,1353488989341286400,melodyskie,she/her ☽ ,Not Geo-tagged,b'@lickasstime are you god? no . this is between em and him !!!!!!! private info',$MENTION$ are you god? no . this is between em and him !!!!!!! private info,are you god? no . this is between em and him !! private info,god private info,god private info,[],{},{},0,0,[],,['pothole'],-0.1739
1,2021-01-24,Sun Jan 24 23:57:24 +0000 2021,1353492125724286976,SavinTheBees,"California, USA",Not Geo-tagged,b'@Super__Dexter @NeoWokio And don\xe2\x80\x99t be weird tryna to guess someone\xe2\x80\x99s private info',$MENTION$ $MENTION$ And dont be weird tryna to guess someones private info,And don t be weird tryna to guess someone s private info,and weird tryna guess someone private info,and weird tryna guess someone private info,[],{},{},0,2,[],,"['New year, same Dexter', 'Neo']",-0.1779
18,2021-01-24,Sun Jan 24 22:40:18 +0000 2021,1353472724996415488,Bonfire133,,Not Geo-tagged,b'I know I wrote a lot but all these concern you.. Please read them because I will erase some private info a bit later..',I know I wrote a lot but all these concern you.. Please read them because I will erase some private info a bit later..,I know I wrote a lot but all these concern you.. Please read them because I will erase some private info a bit later..,know wrote lot concern please read erase private info bit later,know write lot concern please read erase private info bit later,[],{},{},0,0,[],,[],0.4497
23,2021-01-24,Sun Jan 24 22:10:34 +0000 2021,1353465241808498689,RosevilleJoys,"Roseville, CA",Not Geo-tagged,b'Excellent resource info article by Bill Gassett to help home buyers and home owners.\nhttps://t.co/vi6gJlFFSG https://t.co/tkFewWsEkq',Excellent resource info article by Bill Gassett to help home buyers and home owners. $URL$ $URL$,Excellent resource info article by Bill Gassett to help home buyers and home owners.,excellent resource info article bill gassett help home buyers home owners,excellent resource info article bill gassett help home buyer home owner,[],{},{},0,0,[],https://www.maxrealestateexposure.com/how-to-get-rid-of-private-mortgage-insurance/,[],0.7506
15,2021-01-24,Sun Jan 24 22:50:31 +0000 2021,1353475296930852864,vita_lina95,,Not Geo-tagged,b'avail private BO say\ninclude/exclude ready \ninfo by DM or Wa 081258173540\n\n#bobandung\n#angelbandung\n#bispakbandung\n#bisyarbandung\n#availbandung\n#lendirbandung\n#includebandung\n#excludebandung\n#Recomended4BO\n#TrustedAngels\n#TrustedBooking\n\nhttps://t.co/t4FH9Nre6J',avail private BO say include/exclude ready info by DM or Wa $NUMBER$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $URL$,avail private BO say include/exclude ready info by DM or Wa,avail private bo say include exclude ready info dm wa,avail private bo say include exclude ready info dm wa,[],{},{},0,0,"['bobandung', 'angelbandung', 'bispakbandung', 'bisyarbandung', 'availbandung', 'lendirbandung', 'includebandung', 'excludebandung', 'Recomended4BO', 'TrustedAngels', 'TrustedBooking']",,[],0.3612
8,2021-01-24,Sun Jan 24 23:25:56 +0000 2021,1353484208677613568,Dyami814,,Not Geo-tagged,"b'@MegaTenStruggle Private accounts are considered private info by twitter rules? I thought it was just shit like name, address, credit card info, cock size, etc.???'","$MENTION$ Private accounts are considered private info by twitter rules? I thought it was just shit like name, address, credit card info, cock size, etc.???","Private accounts are considered private info by twitter rules? I thought it was just shit like name, address, credit card info, cock size, etc.??",private accounts considered private info twitter rules thought shit like name address credit card info cock size etc,private account consider private info twitter rule think shit like name address credit card info cock size etc,[],{},{},0,0,[],,['Shin Megami Tensei Struggle Tweets'],-0.163
12,2021-01-24,Sun Jan 24 23:00:14 +0000 2021,1353477742415671296,portlandworksre,"Portland, Oregon",Not Geo-tagged,b'Prime ranch style home in Tualatin! Contact @darbysellspdx \xe2\x98\x80\xef\xb8\x8f For more info or to set up a private showing! #portlandworksre https://t.co/e7fU5Oyhsw',Prime ranch style home in Tualatin! Contact $MENTION$ $EMOJI$ For more info or to set up a private showing! $HASHTAG$ $URL$,Prime ranch style home in Tualatin! Contact For more info or to set up a private showing!,prime ranch style home tualatin contact for info set private showing,prime ranch style home tualatin contact for info set private showing,[],{},{},0,0,['portlandworksre'],,[],0.0
49,2021-01-24,Sun Jan 24 20:30:39 +0000 2021,1353440095097872384,tuckedfantasies,"any pronouns ,18",Not Geo-tagged,b'@mcagoentodotio revealing private info of someone on internet i think',$MENTION$ revealing private info of someone on internet i think,revealing private info of someone on internet i think,revealing private info someone internet think,reveal private info someone internet think,[],{},{},0,0,[],,['Albert is listening'],0.0
3,2021-01-24,Sun Jan 24 23:45:04 +0000 2021,1353489023398858753,jholmestusd,"North Tustin, CA",Not Geo-tagged,"b""@summer_masson @KristinPooley I just had someone else message me asking to help with my debt, but wouldn't accept my request to follow them and were private. Only info available was: retired bishop. Then told me he was giving me his account numbers to pay off my CCs??""","$MENTION$ $MENTION$ I just had someone else message me asking to help with my debt, but wouldn't accept my request to follow them and were private. Only info available was: retired bishop. Then told me he was giving me his account numbers to pay off my CCs??","I just had someone else message me asking to help with my debt, but would not accept my request to follow them and were private. Only info available was retired bishop. Then told me he was giving me his account numbers to pay off my CCs??",someone else message asking help debt would accept request follow private only info available retired bishop then told giving account numbers pay ccs,someone else message ask help debt would accept request follow private only info available retire bishop then tell give account number pay ccs,[],{},{},0,0,[],,['Ms Summer'],-0.1371
21,2021-01-24,Sun Jan 24 22:26:33 +0000 2021,1353469263462289408,VenetianVegas,Las Vegas,Not Geo-tagged,"b'@OnTheSpot2020 We are sorry to hear this. Will you please private message us your name, contact info, and reservation confirmation number if applicable so Resort Management may be in touch? Thank you.'","$MENTION$ We are sorry to hear this. Will you please private message us your name, contact info, and reservation confirmation number if applicable so Resort Management may be in touch? Thank you.","We are sorry to hear this. Will you please private message us your name, contact info, and reservation confirmation number if applicable so Resort Management may be in touch? Thank you.",we sorry hear will please private message name contact info reservation confirmation number applicable resort management may touch thank,sorry hear will please private message name contact info reservation confirmation number applicable resort management may touch thank,[],{},{},0,0,[],,['Luis S'],0.5859
43,2021-01-24,Sun Jan 24 20:44:40 +0000 2021,1353443622629240832,marydsoco,"Auckland, New Zealand",Not Geo-tagged,b'@Coltheman1 @MarkHubbard33 @sootytweet You can volunteer to keep info private or not.',$MENTION$ $MENTION$ $MENTION$ You can volunteer to keep info private or not.,You can volunteer to keep info private or not.,you volunteer keep info private,volunteer keep info private,[],{},{},0,1,[],,"['LastManStanding', 'Mark Hubbard', 'Sooty']",0.0
