s_no,date,created_at,id_str,screen_name,user_location,geo-tagged_place,tweet_text,tweet_tokenized,tweet_cleaned,tweet_filtered,tweet_lemmatized,tweet_mentioned_organizations,tweet_tags_classified,tweet_orgs_classified,retweet_count,fav_count,hashtags,urls,mentions,vader_polarity
7,2021-02-12,Fri Feb 12 23:36:51 +0000 2021,1360372325242138626,fengshui2gooz,,Not Geo-tagged,b'@DeanieCook @maturefinancier I tell them I have an exemption. Some push and ask for proof. I then hand them a copy of the legal ramifications of asking for private info under the Privacy Act.',$MENTION$ $MENTION$ I tell them I have an exemption. Some push and ask for proof. I then hand them a copy of the legal ramifications of asking for private info under the Privacy Act.,I tell them I have an exemption. Some push and ask for proof. I then hand them a copy of the legal ramifications of asking for private info under the Privacy Act.,tell exemption some push ask proof hand copy legal ramifications asking private info privacy act,tell exemption some push ask proof hand copy legal ramification ask private info privacy act,[],{},{},2,6,[],,"['Sharon McSharonson', 'David Sterling']",0.5719
6,2021-02-12,Fri Feb 12 23:47:15 +0000 2021,1360374943477714946,AshleyPSays,"Murray, UT",Not Geo-tagged,b'@utahgent I went in an now all my info is private. Creating boundaries one day at a time...',$MENTION$ I went in an now all my info is private. Creating boundaries one day at a time...,I went in an now all my info is private. Creating boundaries one day at a time..,went info private creating boundaries one day time,go info private create boundary one day time,[],{},{},0,0,[],,['Kiel Reid 💛'],0.296
10,2021-02-12,Fri Feb 12 23:15:54 +0000 2021,1360367052343672842,idkohnoel,"Illinois, USA",Not Geo-tagged,"b'@MXS1N1ST3R for legal reasons i cannot cuz private messsges they contain sensitive info, but it was a good convo and she was really nice!'","$MENTION$ for legal reasons i cannot cuz private messsges they contain sensitive info, but it was a good convo and she was really nice!","for legal reasons i cannot cuz private messges they contain sensitive info, but it was a good convo and she was really nice!",legal reasons cuz private messges contain sensitive info good convo really nice,legal reason cuz private messge contain sensitive info good convo really nice,[],{},{},0,1,[],,['🌸Febreze🌸\xa0↯ Akira/Miles/Ryan+'],0.8601
2,2021-02-12,Fri Feb 12 23:55:21 +0000 2021,1360376981804765187,_ShelbyRex_,,Not Geo-tagged,"b""@NoLore @MooseMustache @JamieHopkings Also I'm pretty sure my fb, uber, whatsapp and twitter apps (just to name a few) collect way more private info than I'm likely comfortable with but I have no issue keeping any of those around \xf0\x9f\xa4\xb7""","$MENTION$ $MENTION$ $MENTION$ Also I'm pretty sure my fb, uber, whatsapp and twitter apps (just to name a few) collect way more private info than I'm likely comfortable with but I have no issue keeping any of those around","Also I'm pretty sure my fb, uber, whatsapp and twitter apps (just to name a few) collect way more private info than I'm likely comfortable with but I have no issue keeping any of those around",also pretty sure fb uber whatsapp twitter apps name collect way private info likely comfortable issue keeping around,also pretty sure fb uber whatsapp twitter app name collect way private info likely comfortable issue keep around,[],{},{},0,0,[],,"['Nora Loreto', 'Moose Stache', 'Jamie Hopkings']",0.2732
34,2021-02-12,Fri Feb 12 21:59:44 +0000 2021,1360347886756777989,SueSuezep,"West Midlands, England",Not Geo-tagged,b'Private health and privatisation cost lives https://t.co/6bJ0IH5SU2',Private health and privatisation cost lives $URL$,Private health and privatisation cost lives,private health privatisation cost lives,private health privatisation cost life,[],{},{},5,5,[],https://lowdownnhs.info/analysis/private-health-and-privatisation-cost-lives/,[],0.0
9,2021-02-12,Fri Feb 12 23:18:40 +0000 2021,1360367749323751427,Q86Dee,,Not Geo-tagged,"b""@eclecticbrotha 1. They were delving into his private life and he told the reporter off while OFF the record and the reporter used that info anyway. 2. Ducklo has stage 4 cancer and probably won't be around for the whole 4 years.""",$MENTION$ $NUMBER$. They were delving into his private life and he told the reporter off while OFF the record and the reporter used that info anyway. $NUMBER$. Ducklo has stage $NUMBER$ cancer and probably won't be around for the whole $NUMBER$ years.,. They were delving into his private life and he told the reporter off while OFF the record and the reporter used that info anyway. . Ducklo has stage cancer and probably wo not be around for the whole years.,they delving private life told reporter off record reporter used info anyway ducklo stage cancer probably around whole years,delve private life tell reporter off record reporter use info anyway ducklo stage cancer probably around whole year,[],{},{},0,3,[],,['Homie Wan Kenobi killed Ragnarok Lobster'],-0.6597
1,2021-02-12,Fri Feb 12 23:58:05 +0000 2021,1360377670152896514,SpotifyCares,,Not Geo-tagged,"b""@modernscientist Hey there, help's here. We'd recommend you delete your tweet and DM us instead as you've sent your private info publicly. We'll be on the lookout for your reply /SS https://t.co/ldFdZRiNAt""","$MENTION$ Hey there, help's here. We'd recommend you delete your tweet and DM us instead as you've sent your private info publicly. We'll be on the lookout for your reply /SS $URL$","Hey there, help's here. We'd recommend you delete your tweet and DM us instead as you've sent your private info publicly. We'll be on the lookout for your reply /SS",hey help we recommend delete tweet dm instead sent private info publicly we lookout reply ss,hey help recommend delete tweet dm instead send private info publicly lookout reply ss,[],{},{},0,0,[],https://twitter.com/messages/compose?recipient_id=497340309,['modernscientist'],0.3612
15,2021-02-12,Fri Feb 12 22:56:04 +0000 2021,1360362062803652616,pizzahut,United States,Not Geo-tagged,"b""@MartyGalindo1 Thank you for reaching out. Would you mind sending us a private message with your contact info and the store's address so we can help out? https://t.co/PQtSXiQxeo""",$MENTION$ Thank you for reaching out. Would you mind sending us a private message with your contact info and the store's address so we can help out? $URL$,Thank you for reaching out. Would you mind sending us a private message with your contact info and the store's address so we can help out?,thank reaching would mind sending private message contact info store address help,thank reach would mind send private message contact info store address help,[],{},{},0,0,[],https://twitter.com/messages/compose?recipient_id=11018442,['Marty Galindo'],0.7402
4,2021-02-12,Fri Feb 12 23:51:48 +0000 2021,1360376088589836290,AnonBitchyEGirl,United States,Not Geo-tagged,"b'@pasta_lettuce To prove a point? I\xe2\x80\x99m not going to post private bank info to bunch of randoms. Girls over 25 make plenty hun, that\xe2\x80\x99s the point.'","$MENTION$ To prove a point? Im not going to post private bank info to bunch of randoms. Girls over $NUMBER$ make plenty hun, thats the point.","To prove a point? I m not going to post private bank info to bunch of randoms. Girls over make plenty hun, that s the point.",to prove point going post private bank info bunch randoms girls make plenty hun point,to prove point go post private bank info bunch random girl make plenty hun point,[],{},{},0,0,[],,['DarthSalad'],0.0
12,2021-02-12,Fri Feb 12 23:06:15 +0000 2021,1360364623652864000,KaasumiiArt,Deutschland,Not Geo-tagged,"b""@Ihavetime4 @Rin_goSan You mean the image of a private message that kept completely anonymous? \nWhere there is nothing that could leak the person's private info?\nThat's just really sad""",$MENTION$ $MENTION$ You mean the image of a private message that kept completely anonymous? Where there is nothing that could leak the person's private info? That's just really sad,You mean the image of a private message that kept completely anonymous? Where there is nothing that could leak the person's private info? That's just really sad,you mean image private message kept completely anonymous where nothing could leak person private info that really sad,mean image private message keep completely anonymous where nothing could leak person private info that really sad,[],{},{},1,2,[],,"['Ihavetime', 'Rin@Jujutsu Kaisen Hype']",-0.4053
