s_no,date,created_at,id_str,screen_name,user_location,geo-tagged_place,tweet_text,tweet_tokenized,tweet_cleaned,tweet_filtered,tweet_lemmatized,tweet_mentioned_organizations,tweet_tags_classified,tweet_orgs_classified,retweet_count,fav_count,hashtags,urls,mentions,vader_polarity
16,2021-02-28,Sun Feb 28 22:34:32 +0000 2021,1366154848471838728,Eightbitty,,Not Geo-tagged,"b""@scruffythedeer i don't want your private info i just want trash""",$MENTION$ i don't want your private info i just want trash,i do not want your private info i just want trash,want private info want trash,want private info want trash,[],{},{},0,0,[],,['🔞 🔞 Scruffy 🔞 🔞'],0.0201
6,2021-02-28,Sun Feb 28 23:33:15 +0000 2021,1366169625285644293,TheNightBanana,Commissions closed!!,Not Geo-tagged,"b""\xe2\xad\x90My 3D Modeling Portfolio is FINISHED!\xe2\xad\x90\n\nMake sure to check it out and see if my modeling style's for you, then private message me for more info. \xf0\x9f\x92\x97\n\nLink: https://t.co/TsmF0Te4Hy https://t.co/bYYCcgwsTX""","My $NUMBER$D Modeling Portfolio is FINISHED! Make sure to check it out and see if my modeling style's for you, then private message me for more info. $EMOJI$ Link: $URL$ $URL$","My D Modeling Portfolio is FINISHED! Make sure to check it out and see if my modeling style's for you, then private message me for more info. Link",my modeling portfolio finished make sure check see modeling style private message info link,modeling portfolio finish make sure check see model style private message info link,[],{},{},8,59,[],https://thenightbanana.wixsite.com/-portfolio,[],0.3802
8,2021-02-28,Sun Feb 28 23:26:38 +0000 2021,1366167960038100992,SpotifyCares,,Not Geo-tagged,"b""@HBWREM Okay. For security, we'd recommend deleting your previous tweet as it contains private info. Could you send us a DM instead? We'll help out backstage /KT https://t.co/ldFdZRiNAt""","$MENTION$ Okay. For security, we'd recommend deleting your previous tweet as it contains private info. Could you send us a DM instead? We'll help out backstage /KT $URL$","Okay. For security, we'd recommend deleting your previous tweet as it contains private info. Could you send us a DM instead? We'll help out backstage /KT",okay for security recommend deleting previous tweet contains private info could send dm instead we help backstage kt,okay for security recommend delete previous tweet contain private info could send dm instead help backstage kt,[],{},{},0,0,[],https://twitter.com/messages/compose?recipient_id=497340309,['mafloᴺ'],0.8176
1,2021-02-28,Sun Feb 28 23:51:35 +0000 2021,1366174240001548291,passcod,Whangārei,Not Geo-tagged,"b""@Wanderlustin like the council's website has info but it's weird, right? why am i (not, in this case) paying a private corp for access to my own mayor's words""","$MENTION$ like the council's website has info but it's weird, right? why am i (not, in this case) paying a private corp for access to my own mayor's words","like the council's website has info but it's weird, right? why am i (not, in this case) paying a private corp for access to my own mayor's words",like council website info weird right case paying private corp access mayor words,like council website info weird right case pay private corp access mayor word,[],{},{},0,0,[],,['chewable saf'],-0.0772
30,2021-02-28,Sun Feb 28 21:11:07 +0000 2021,1366133857825804289,Ashley63594776,,Not Geo-tagged,b'@todosenpai1 @Bloxy_News People will be saying inappropriate stuff leaking private info and get other peoples fams at risk',$MENTION$ $MENTION$ People will be saying inappropriate stuff leaking private info and get other peoples fams at risk,People will be saying inappropriate stuff leaking private info and get other peoples fams at risk,people saying inappropriate stuff leaking private info get peoples fams risk,people say inappropriate stuff leak private info get people fam risk,[],{},{},0,0,[],,"['GlitchCat2234', 'Bloxy News']",-0.2732
3,2021-02-28,Sun Feb 28 23:38:41 +0000 2021,1366170990732972034,MascotRay,,Not Geo-tagged,"b'@TheCryptoLark  Not sure if you\xe2\x80\x99re willing to share this info, but would you ever consider making a video describing what percentage (not amount, that\xe2\x80\x99s rude) of your investments you keep on a private wallet vs. a BlockFi account vs an exchange?'","$MENTION$ Not sure if youre willing to share this info, but would you ever consider making a video describing what percentage (not amount, thats rude) of your investments you keep on a private wallet vs. a BlockFi account vs an exchange?","Not sure if you re willing to share this info, but would you ever consider making a video describing what percentage (not amount, that s rude) of your investments you keep on a private wallet vs. a BlockFi account vs an exchange?",not sure willing share info would ever consider making video describing percentage amount rude investments keep private wallet blockfi account exchange,not sure willing share info would ever consider make video describe percentage amount rude investment keep private wallet blockfi account exchange,[],{},{},0,0,[],,['Lark Davis'],-0.5968
4,2021-02-28,Sun Feb 28 23:36:38 +0000 2021,1366170477752803330,ByteSizeArxiv,,Not Geo-tagged,"b""Digital 'private information' is not private\xf0\x9f\x94\x8d\xf0\x9f\x95\xb5\xef\xb8\x8f\n\nEye-opening #cybersafety #research by @BU_Tweets &amp; @NortonLifelock\xf0\x9f\x94\x8f\n\nAcross 2.1M apps &amp; 17.3M users, a staggering 87.2% of all devices sent private info to 5+ different sites\n\nTop 2 \xf0\x9f\x8c\x8e:@Facebook &amp; @Google\n\nhttps://t.co/7fxnlTlmQo https://t.co/wjwRsgqeLm""","Digital 'private information' is not private$EMOJI$$EMOJI$ Eye-opening $HASHTAG$ $HASHTAG$ by $MENTION$ &amp; $MENTION$$EMOJI$ Across $NUMBER$M apps &amp; $NUMBER$M users, a staggering $NUMBER$% of all devices sent private info to $NUMBER$+ different sites Top $NUMBER$ $EMOJI$:$MENTION$ &amp; $MENTION$ $URL$ $URL$","Digital 'private information' is not private Eye-opening by &amp; Across M apps &amp; M users, a staggering % of all devices sent private info to + different sites Top &amp;",digital private information private eye opening across apps users staggering devices sent private info different sites top,digital private information private eye opening across app user staggering device send private info different site top,[],{},{},0,0,"['cybersafety', 'research']",https://arxiv.org/pdf/2102.12869v1.pdf,"['Boston University', 'NortonLifeLock', 'Facebook', 'Google']",0.2023
12,2021-02-28,Sun Feb 28 23:11:28 +0000 2021,1366164142881652737,shannieloves,"brum babe, london living ",Not Geo-tagged,b'Name and email is fine. No private info like numbers or addresses. And hyperlink any links like portfolio or LinkedIn. Or put it in the body text.',Name and email is fine. No private info like numbers or addresses. And hyperlink any links like portfolio or LinkedIn. Or put it in the body text.,Name and email is fine. No private info like numbers or addresses. And hyperlink any links like portfolio or LinkedIn. Or put it in the body text.,name email fine no private info like numbers addresses and hyperlink links like portfolio linkedin or put body text,name email fine no private info like number address and hyperlink link like portfolio linkedin or put body text,[],{},{},0,0,[],,[],0.5574
35,2021-02-28,Sun Feb 28 20:55:57 +0000 2021,1366130038832209921,TWardobe,,Not Geo-tagged,"b'@Child55383535 @3Nightbat @Bobby_Ent @0alaxy @Elithriss @Roblox_RTC @WackedWilly and anyway, a lot on roblox are. i see so many people giving away private info and it hurts to see'","$MENTION$ $MENTION$ $MENTION$ $MENTION$ $MENTION$ $MENTION$ $MENTION$ and anyway, a lot on roblox are. i see so many people giving away private info and it hurts to see","and anyway, a lot on roblox are. i see so many people giving away private info and it hurts to see",anyway lot roblox see many people giving away private info hurts see,anyway lot roblox see many people give away private info hurt see,[],{},{},0,0,[],,"['bad bleep', 'NightBat 3.0', 'Ben Mckinley', 'Galaxy', 'Elithris', 'RTC', 'The Boi ⸜⁄']",-0.1119
26,2021-02-28,Sun Feb 28 21:37:38 +0000 2021,1366140530787160064,MsPacNWer,United States,Not Geo-tagged,"b'@Treesareneat1 @YoYoSin10 @wokyleeks @CanadianWizardT Interesting Twitter timeline:  LM apparently provided more info to [at]MiloWear1A.\n\n(I found that I can view Twitter accts that block in \xe2\x80\x9cprivate\xe2\x80\x9d browser windows, w/o signing in, including other LM accts.) https://t.co/2Q322lxzbJ'","$MENTION$ $MENTION$ $MENTION$ $MENTION$ Interesting Twitter timeline: LM apparently provided more info to [at]MiloWear1A. (I found that I can view Twitter accts that block in private browser windows, w/o signing in, including other LM accts.) $URL$","Interesting Twitter timeline LM apparently provided more info to [at]MiloWear1A. (I found that I can view Twitter accts that block in private browser windows, w/o signing in, including other LM accts.)",interesting twitter timeline lm apparently provided info milowear found view twitter accts block private browser windows signing including lm accts,interesting twitter timeline lm apparently provide info milowear find view twitter acct block private browser window signing include lm acct,[],{},{},0,0,[],https://twitter.com/bitburner/status/1081618472231026688,"['Treesareneat', 'YoYo Sin', '""BONDS DOG #8724"" Wokyleeks', ""Dante's architect""]",-0.0516
