s_no,date,created_at,id_str,screen_name,user_location,geo-tagged_place,tweet_text,tweet_tokenized,tweet_cleaned,tweet_filtered,tweet_lemmatized,tweet_mentioned_organizations,tweet_tags_classified,tweet_orgs_classified,retweet_count,fav_count,hashtags,urls,mentions,vader_polarity
1,2021-03-10,Wed Mar 10 23:51:47 +0000 2021,1369798169333268482,PeteB2,St. Louis,Not Geo-tagged,b'@GConnolly314 @InezBordeaux Thanks for the info. Presenting private security as police (even if it\xe2\x80\x99s off-duty officers) is just misrepresentation. I\xe2\x80\x99m surprised they get away with that',$MENTION$ $MENTION$ Thanks for the info. Presenting private security as police (even if its off-duty officers) is just misrepresentation. Im surprised they get away with that,Thanks for the info. Presenting private security as police (even if it s off-duty officers) is just misrepresentation. I m surprised they get away with that,thanks info presenting private security police even duty officers misrepresentation surprised get away,thank info present private security police even duty officer misrepresentation surprised get away,[],{},{},0,0,[],,"['Sounds the Alarm in Silver Bullet City of St Louis', 'Equal Rights, Lefts & Uppercuts']",0.4939
3,2021-03-10,Wed Mar 10 23:40:06 +0000 2021,1369795229025329154,Daniela75437213,,Not Geo-tagged,b'@tapairportugal My question is simple: where is my reservation? Will I be able to travel or not? I\xe2\x80\x99ll send the reservation info in private.',$MENTION$ My question is simple: where is my reservation? Will I be able to travel or not? Ill send the reservation info in private.,My question is simple where is my reservation? Will I be able to travel or not? I ll send the reservation info in private.,my question simple reservation will able travel send reservation info private,question simple reservation will able travel send reservation info private,[],{},{},0,0,[],,['TAP Air Portugal'],0.0
32,2021-03-10,Wed Mar 10 22:07:52 +0000 2021,1369772017831079941,GoyunInfo,,Not Geo-tagged,b'flyExclusive Now Accepts Cryptocurrency Payments for Jet Club Memberships and Private Charter ... https://t.co/bXXd2ufk6n',flyExclusive Now Accepts Cryptocurrency Payments for Jet Club Memberships and Private Charter ... $URL$,flyExclusive Now Accepts Cryptocurrency Payments for Jet Club Memberships and Private Charter ..,flyexclusive now accepts cryptocurrency payments jet club memberships private charter,flyexclusive now accept cryptocurrency payment jet club membership private charter,[],{},{},0,0,[],https://ift.tt/2OofWPL,[],0.3182
7,2021-03-10,Wed Mar 10 23:26:35 +0000 2021,1369791824877867013,4U2CY,,Not Geo-tagged,b'@bbcrzyfan @RonaldNHughes Because he\xe2\x80\x99s a treating physician. You should speak with him if you can private message me I\xe2\x80\x99d be happy to send you his info and phone number and please I\xe2\x80\x99d appreciate it if you would follow up with that',$MENTION$ $MENTION$ Because hes a treating physician. You should speak with him if you can private message me Id be happy to send you his info and phone number and please Id appreciate it if you would follow up with that,Because he s a treating physician. You should speak with him if you can private message me I d be happy to send you his info and phone number and please I d appreciate it if you would follow up with that,because treating physician you speak private message happy send info phone number please appreciate would follow,because treat physician speak private message happy send info phone number please appreciate would follow,[],{},{},0,0,[],,"['bbcrzyfan', 'Ron Hughes']",0.8402
2,2021-03-10,Wed Mar 10 23:51:23 +0000 2021,1369798068502073347,punkhwan,they/them 22 ¡cw!,Not Geo-tagged,b'And I\xe2\x80\x99m not ableist. I\xe2\x80\x99m ND too but I hate twting abt it bc that\xe2\x80\x99s private info',And Im not ableist. Im ND too but I hate twting abt it bc thats private info,And I m not ableist. I m ND too but I hate twting abt it bc that s private info,and ableist nd hate twting abt bc private info,and ableist nd hate twte abt bc private info,[],{},{},0,0,[],,[],-0.7227
14,2021-03-10,Wed Mar 10 22:51:02 +0000 2021,1369782881418149893,Ruby4life3,,Not Geo-tagged,b'@blackwomenviews Have you heard this one..they told the press all her private info. What kind HR is this? https://t.co/zUA9wjN8jS',$MENTION$ Have you heard this one..they told the press all her private info. What kind HR is this? $URL$,Have you heard this one..they told the press all her private info. What kind HR is this?,have heard one told press private info what kind hr,have hear one tell press private info what kind hr,[],{},{},0,0,[],,['BlackWomenViews Media'],0.5267
26,2021-03-10,Wed Mar 10 22:16:17 +0000 2021,1369774133853175809,mvknve,she!they,Not Geo-tagged,b'i just noticed i exposed my private info on that pic im leaving',i just noticed i exposed my private info on that pic im leaving,i just noticed i exposed my private info on that pic im leaving,noticed exposed private info pic leaving,noticed expose private info pic leave,[],{},{},0,1,[],,[],-0.0772
37,2021-03-10,Wed Mar 10 21:55:51 +0000 2021,1369768990269136897,Allstate,,Not Geo-tagged,"b'@thissamisosa We are sorry to hear this. Please private message us a bit more info, so we can look into this. ^AG https://t.co/vYIVrwsUyL'","$MENTION$ We are sorry to hear this. Please private message us a bit more info, so we can look into this. ^AG $URL$","We are sorry to hear this. Please private message us a bit more info, so we can look into this. ^AG",we sorry hear please private message bit info look ag,sorry hear please private message bit info look ag,[],{},{},0,0,[],https://twitter.com/messages/compose?recipient_id=14275290,['sosa'],0.3237
19,2021-03-10,Wed Mar 10 22:31:50 +0000 2021,1369778049718353920,suzy_lovett,,Not Geo-tagged,b'@brexitblog_info The best thing we can all do particularly MSM and the press is let them get on with their \xe2\x80\x9cprivate\xe2\x80\x9d lives.',$MENTION$ The best thing we can all do particularly MSM and the press is let them get on with their private lives.,The best thing we can all do particularly MSM and the press is let them get on with their private lives.,the best thing particularly msm press let get private lives,the good thing particularly msm press let get private life,[],{},{},1,1,[],,['Voice of Reason'],0.6369
10,2021-03-10,Wed Mar 10 23:09:07 +0000 2021,1369787428425367559,CeeBee64495886,South West England.,Not Geo-tagged,"b""What the f**k is an actress doing with private information?\nShe should NOT be privy to such information! If someone was dismissed for misconduct or otherwise it's no-ones business save the Company &amp; the employee!!  \nSo did Markle share this PRIVATE info!\n\nhttps://t.co/KxApbWdBiu""",What the f**k is an actress doing with private information? She should NOT be privy to such information! If someone was dismissed for misconduct or otherwise it's no-ones business save the Company &amp; the employee!! So did Markle share this PRIVATE info! $URL$,What the f**k is an actress doing with private information? She should NOT be privy to such information! If someone was dismissed for misconduct or otherwise it's no-ones business save the Company &amp; the employee!! So did Markle share this PRIVATE info!,what actress private information she not privy information if someone dismissed misconduct otherwise ones business save company employee so markle share private info,what actress private information not privy information if someone dismiss misconduct otherwise one business save company employee so markle share private info,[],{},{},7,57,[],https://www.pedestrian.tv/news/meghan-markle-claims-racism-friend-text-email-receipts/,[],0.7803
17,2021-03-10,Wed Mar 10 22:39:58 +0000 2021,1369780092742688772,MagicMoshii,Tasmania,Not Geo-tagged,"b""@Slappy202TV It's currently down as a hobby, but I keep my social medias either private or not directly linked to my actual identity. It's BS that employers will use that info against you, who I am in private shouldn't matter too much. I can wear the work face and make the happy voice.""","$MENTION$ It's currently down as a hobby, but I keep my social medias either private or not directly linked to my actual identity. It's BS that employers will use that info against you, who I am in private shouldn't matter too much. I can wear the work face and make the happy voice.","It's currently down as a hobby, but I keep my social medias either private or not directly linked to my actual identity. It's BS that employers will use that info against you, who I am in private should not matter too much. I can wear the work face and make the happy voice.",it currently hobby keep social medias either private directly linked actual identity it bs employers use info private matter much wear work face make happy voice,currently hobby keep social media either private directly link actual identity bs employer use info private matter much wear work face make happy voice,[],{},{},0,2,[],,['Pre | Slappy'],0.7131
4,2021-03-10,Wed Mar 10 23:38:29 +0000 2021,1369794822748397575,YvonneRosselin,,Not Geo-tagged,"b'@RedbubbleHelp If you have no email or number (?!) pl send me a link to a chat, not one that constantly sends me to the same ""track your order"" page, but with an actual person. Again, not ok for me to DM you my private info on Twitter. I\'m sure lots of ppl don\'t have Twitter. Tks!'","$MENTION$ If you have no email or number (?!) pl send me a link to a chat, not one that constantly sends me to the same ""track your order"" page, but with an actual person. Again, not ok for me to DM you my private info on Twitter. I'm sure lots of ppl don't have Twitter. Tks!","If you have no email or number (?!) pl send me a link to a chat, not one that constantly sends me to the same ""track your order"" page, but with an actual person. Again, not ok for me to DM you my private info on Twitter. I'm sure lots of ppl do not have Twitter. Tks!",if email number send link chat one constantly sends track order page actual person again dm private info twitter sure lots ppl twitter tks,if email number send link chat one constantly send track order page actual person again dm private info twitter sure lot ppl twitter tks,[],{},{},0,0,[],,['Redbubble Help'],-0.1722
46,2021-03-10,Wed Mar 10 21:33:55 +0000 2021,1369763470929956864,Allstate,,Not Geo-tagged,"b'@osseauthegod We are sorry to hear this. Please private message us a bit more info, so we can look into this. ^SE https://t.co/vYIVrwsUyL'","$MENTION$ We are sorry to hear this. Please private message us a bit more info, so we can look into this. ^SE $URL$","We are sorry to hear this. Please private message us a bit more info, so we can look into this. ^SE",we sorry hear please private message bit info look se,sorry hear please private message bit info look se,[],{},{},0,0,[],https://twitter.com/messages/compose?recipient_id=14275290,['SPREKTAMEGGENKAI'],0.3237
35,2021-03-10,Wed Mar 10 21:58:40 +0000 2021,1369769701052710914,ColorsAndStones,Poland,Not Geo-tagged,"b""@DLVLK @rogueclassicist I have a catalog from the exhibition in Warsaw. And a lot of pictures &amp; info from the internet because I couldn't understand what am I looking at. Ones it was info from museums like the Met, Hermitage, ones photos from private collection. As a result I know everything about it""","$MENTION$ $MENTION$ I have a catalog from the exhibition in Warsaw. And a lot of pictures &amp; info from the internet because I couldn't understand what am I looking at. Ones it was info from museums like the Met, Hermitage, ones photos from private collection. As a result I know everything about it","I have a catalog from the exhibition in Warsaw. And a lot of pictures &amp; info from the internet because I could not understand what am I looking at. Ones it was info from museums like the Met, Hermitage, ones photos from private collection. As a result I know everything about it",catalog exhibition warsaw and lot pictures info internet could understand looking ones info museums like met hermitage ones photos private collection as result know everything,catalog exhibition warsaw and lot picture info internet could understand looking one info museum like meet hermitage one photo private collection as result know everything,[],{},{},0,1,[],,"['Dorothy Lobel King', 'rogueclassicist ~ david meadows']",0.34
6,2021-03-10,Wed Mar 10 23:29:00 +0000 2021,1369792435732295682,NotTheRealRin,Danmark,Not Geo-tagged,"b""@weebygf @pbrigggy @sinatraa He doesn't have to be forgiven, but when you say you forget everything about him, and their relationship, then you don't exactly save his info, private conversation, sex audio. You usually block, delete or go to the authorities, not Twitter.""","$MENTION$ $MENTION$ $MENTION$ He doesn't have to be forgiven, but when you say you forget everything about him, and their relationship, then you don't exactly save his info, private conversation, sex audio. You usually block, delete or go to the authorities, not Twitter.","He does not have to be forgiven, but when you say you forget everything about him, and their relationship, then you do not exactly save his info, private conversation, sex audio. You usually block, delete or go to the authorities, not Twitter.",he forgiven say forget everything relationship exactly save info private conversation sex audio you usually block delete go authorities twitter,forgive say forget everything relationship exactly save info private conversation sex audio usually block delete go authority twitter,[],{},{},0,0,[],,"['ً', 'pbriggy', 'Jay Won']",-0.8335
43,2021-03-10,Wed Mar 10 21:47:01 +0000 2021,1369766767912841223,putridfanatic,they/them,Not Geo-tagged,b'stop giving away private info on twitter https://t.co/cF4SCHNzyf',stop giving away private info on twitter $URL$,stop giving away private info on twitter,stop giving away private info twitter,stop give away private info twitter,[],{},{},0,4,[],https://twitter.com/jontaoht/status/1369690974964785152,[],0.0516
12,2021-03-10,Wed Mar 10 23:00:26 +0000 2021,1369785244207902721,ParrillaAdela,,Not Geo-tagged,"b'@SenRickScott @TheJusticeDept Saying the former gov who sold our private dmv info in Florida? Speak to me about the rule of law, again?'","$MENTION$ $MENTION$ Saying the former gov who sold our private dmv info in Florida? Speak to me about the rule of law, again?","Saying the former gov who sold our private dmv info in Florida? Speak to me about the rule of law, again?",saying former gov sold private dmv info florida speak rule law,say former gov sell private dmv info florida speak rule law,[],{},{},0,0,[],,"['Rick Scott', 'Justice Department']",0.0
50,2021-03-10,Wed Mar 10 21:22:34 +0000 2021,1369760614529204224,Kiefer_Blaq,Canada,Not Geo-tagged,b'@Bitcephus @smart_pool0x @Januszbitek The WhoIs info on the Domain is Private and its 14 days old. Definitely a repurposed profile',$MENTION$ $MENTION$ $MENTION$ The WhoIs info on the Domain is Private and its $NUMBER$ days old. Definitely a repurposed profile,The WhoIs info on the Domain is Private and its days old. Definitely a repurposed profile,the whois info domain private days old definitely repurposed profile,the whois info domain private day old definitely repurpose profile,[],{},{},0,1,[],,"['Bitty', 'Smartpool', 'Mac']",0.4019
25,2021-03-10,Wed Mar 10 22:18:48 +0000 2021,1369774768552050695,funbixa,,Not Geo-tagged,b'@adesujitope Fundraising for private companies are only available to Angels and VCs. Not really public info like in crypto.',$MENTION$ Fundraising for private companies are only available to Angels and VCs. Not really public info like in crypto.,Fundraising for private companies are only available to Angels and VCs. Not really public info like in crypto.,fundraising private companies available angels vcs not really public info like crypto,fundraise private company available angel vc not really public info like crypto,[],{},{},0,0,[],,['Dr. Elijah T Adesuji'],0.4144
