s_no,date,created_at,id_str,screen_name,user_location,geo-tagged_place,tweet_text,tweet_tokenized,tweet_cleaned,tweet_filtered,tweet_lemmatized,tweet_mentioned_organizations,tweet_tags_classified,tweet_orgs_classified,retweet_count,fav_count,hashtags,urls,mentions,vader_polarity
3,2021-02-02,Tue Feb 02 23:49:23 +0000 2021,1356751599536754689,puppysperpound,,Not Geo-tagged,"b""@BubblegumThief Im not asking for details or private info, it just doesn't make sense to marry someone you don't want to be with...""","$MENTION$ Im not asking for details or private info, it just doesn't make sense to marry someone you don't want to be with...","Im not asking for details or private info, it just does not make sense to marry someone you do not want to be with..",im asking details private info make sense marry someone want,be ask detail private info make sense marry someone want,[],{},{},0,0,[],,['Ros'],-0.0572
23,2021-02-02,Tue Feb 02 22:30:00 +0000 2021,1356731624038268929,TriviaAD,"Bergen County, NJ",Not Geo-tagged,"b'We\xe2\x80\x99re here to host your\xc2\xa0virtual trivia event for your corporate, private, birthday or any other reason for entertainment with your colleagues, friends or family. Reach out to info [at] https://t.co/fXpcVcQabc for more details! https://t.co/aTFJpNjdq4'","Were here to host yourvirtual trivia event for your corporate, private, birthday or any other reason for entertainment with your colleagues, friends or family. Reach out to info [at] $URL$ for more details! $URL$","We re here to host your virtual trivia event for your corporate, private, birthday or any other reason for entertainment with your colleagues, friends or family. Reach out to info [at] for more details!",we host virtual trivia event corporate private birthday reason entertainment colleagues friends family reach info details,host virtual trivium event corporate private birthday reason entertainment colleague friend family reach info detail,[],{},{},0,0,[],http://triviaad.com,[],0.7424
4,2021-02-02,Tue Feb 02 23:48:16 +0000 2021,1356751319646707712,pizzahut,United States,Not Geo-tagged,"b""@DezlieMikulin Oh no! Would you mind sending us a private message with your contact info and the store's address so we can look into this? https://t.co/PQtSXiQxeo""",$MENTION$ Oh no! Would you mind sending us a private message with your contact info and the store's address so we can look into this? $URL$,Oh no! Would you mind sending us a private message with your contact info and the store's address so we can look into this?,oh would mind sending private message contact info store address look,oh would mind send private message contact info store address look,[],{},{},0,0,[],https://twitter.com/messages/compose?recipient_id=11018442,['Dezlie Mikulin'],0.0
49,2021-02-02,Tue Feb 02 20:51:11 +0000 2021,1356706755443625992,TeamYouTube,"San Bruno, CA",Not Geo-tagged,b'@aakashguru21 (2/2) We also recommend deleting your tweet since it contains private info (email address).',$MENTION$ (2/2) We also recommend deleting your tweet since it contains private info (email address).,(2/2) We also recommend deleting your tweet since it contains private info (email address).,we also recommend deleting tweet since contains private info email address,also recommend delete tweet since contain private info email address,[],{},{},0,0,[],,['AAKASH GURU'],0.3612
48,2021-02-02,Tue Feb 02 20:55:14 +0000 2021,1356707773816446977,GBSSupport,"Haywards Heath, England",Not Geo-tagged,b'The private test is safe and easy to do yourself: https://t.co/wlK1ClVWMM #groupBStrep #StrepBaware',The private test is safe and easy to do yourself: $URL$ $HASHTAG$ $HASHTAG$,The private test is safe and easy to do yourself,the private test safe easy,the private test safe easy,[],{},{},1,1,"['groupBStrep', 'StrepBaware']",http://gbss.org.uk/who-we-are/testing-for-gbs/ecm-test-where-how/,[],0.7003
20,2021-02-02,Tue Feb 02 22:50:48 +0000 2021,1356736856562429953,Jeesa_Jay,"Florida, USA",Not Geo-tagged,b'@Linbei_ Oh I\xe2\x80\x99m sure it is. There\xe2\x80\x99s so much private info and she just put it out there like shit is sweet',$MENTION$ Oh Im sure it is. Theres so much private info and she just put it out there like shit is sweet,Oh I m sure it is. There s so much private info and she just put it out there like shit is sweet,oh sure there much private info put like shit sweet,oh sure there much private info put like shit sweet,[],{},{},0,0,[],,['𝒮𝒽𝒾𝓀𝒶𝓂𝒶𝓇𝓊’𝓈 𝐻𝒶𝒾𝓇𝓁𝒾𝓃𝑒'],0.4939
2,2021-02-02,Tue Feb 02 23:55:50 +0000 2021,1356753224674414592,morning_news24h,Etats-Unis,Not Geo-tagged,"b""Whenever, Wherever: The Secrets of Shakira and Gerard Piqu\xc3\xa9's Private Love Story Robert Marquardt/Getty ImagesShakira doe... https://t.co/sIhoaXfbpb https://t.co/PprjpEhKug""","Whenever, Wherever: The Secrets of Shakira and Gerard Piqu's Private Love Story Robert Marquardt/Getty ImagesShakira doe... $URL$ $URL$","Whenever, Wherever The Secrets of Shakira and Gerard Piqu 's Private Love Story Robert Marquardt/Getty ImagesShakira doe..",whenever wherever the secrets shakira gerard piqu private love story robert marquardt getty imagesshakira doe,whenever wherever the secret shakira gerard piqu private love story robert marquardt getty imagesshakira doe,[],{},{},0,0,[],https://albahuth.info/?p=59076&feed_id=209601,[],0.6369
1,2021-02-02,Tue Feb 02 23:56:54 +0000 2021,1356753494401810432,hellokanary,,Not Geo-tagged,"b""Epsilon is paying $150 mil to settle criminal fraud charges for selling #private info. You'll likely get $0, but you can opt out of their databases here:\nhttps://t.co/zn1yhfpuO4\nhttps://t.co/V5kmC7ro7t\n\nKanary has also added @EpsilonMktg to our opt-out process.""","Epsilon is paying $150 mil to settle criminal fraud charges for selling $HASHTAG$ info. You'll likely get $0, but you can opt out of their databases here: $URL$ $URL$ Kanary has also added $MENTION$ to our opt-out process.","Epsilon is paying $150 mil to settle criminal fraud charges for selling info. You'll likely get $0, but you can opt out of their databases here Kanary has also added to our opt-out process.",epsilon paying mil settle criminal fraud charges selling info you likely get opt databases kanary also added opt process,epsilon pay mil settle criminal fraud charge sell info likely get opt database kanary also add opt process,[],{},{},0,1,['private'],"https://us.epsilon.com/marketing-data-summary-request, https://www.conversantmedia.com/privacy/opt-out",['Epsilon'],-0.631
39,2021-02-02,Tue Feb 02 21:29:54 +0000 2021,1356716498262384643,RockstarSupport,"New York, NY",Not Geo-tagged,b'@M3rl1n_TH We can look into this further for you if you submit your account info in a private request here: https://t.co/iLlf5byDom *BK',$MENTION$ We can look into this further for you if you submit your account info in a private request here: $URL$ *BK,We can look into this further for you if you submit your account info in a private request here *BK,we look submit account info private request bk,look submit account info private request bk,[],{},{},0,0,[],http://rsg.ms/support,['M3rl1n TH'],0.0
14,2021-02-02,Tue Feb 02 23:07:44 +0000 2021,1356741119061618688,DearbornLibrary,"Dearborn, MI",Not Geo-tagged,"b'THURSDAY! At 7pm we\'ll be in conversation with artist and author Leila Abdelrazaq whose graphic novel, ""Baddawi"" we love. Register for the Zoom link to join: https://t.co/nLs4uUqX8B. https://t.co/127Pjl9rQP'","THURSDAY! At $NUMBER$pm we'll be in conversation with artist and author Leila Abdelrazaq whose graphic novel, ""Baddawi"" we love. Register for the Zoom link to join: $URL$. $URL$","THURSDAY! At pm we'll be in conversation with artist and author Leila Abdelrazaq whose graphic novel, ""Baddawi"" we love. Register for the Zoom link to join .",thursday at conversation artist author leila abdelrazaq whose graphic novel baddawi love register zoom link join,thursday at conversation artist author leila abdelrazaq whose graphic novel baddawi love register zoom link join,[],{},{},1,0,[],http://dearbornlibrarymi.evanced.info/signup/EventDetails?EventId=9566&ag=&et=&dt=mo&mo=&df=calendar&cn=0&private=0&ln=ALL&backTo=Calendar&startDate=2021/02/02,[],0.8398
