s_no,date,created_at,id_str,screen_name,user_location,geo-tagged_place,tweet_text,tweet_tokenized,tweet_cleaned,tweet_filtered,tweet_lemmatized,tweet_mentioned_organizations,tweet_tags_classified,tweet_orgs_classified,retweet_count,fav_count,hashtags,urls,mentions,vader_polarity
8,2021-02-11,Thu Feb 11 23:26:08 +0000 2021,1360007242410582016,LoriKastigar,"West Terre Haute, IN",Not Geo-tagged,b'@Adopt_classroom We have a classroom Facebook page that is private and limited to immediate family members.  It has been great to list info and post pictures since we limit visitors in the building. #TeachingSTEM2021',$MENTION$ We have a classroom Facebook page that is private and limited to immediate family members. It has been great to list info and post pictures since we limit visitors in the building. $HASHTAG$,We have a classroom Facebook page that is private and limited to immediate family members. It has been great to list info and post pictures since we limit visitors in the building.,we classroom facebook page private limited immediate family members it great list info post pictures since limit visitors building,classroom facebook page private limited immediate family member great list info post picture since limit visitor build,[],{},{},0,2,['TeachingSTEM2021'],,['AdoptAClassroom.org'],0.4939
22,2021-02-11,Thu Feb 11 23:00:33 +0000 2021,1360000803625332739,BrooksBrothers,346 Madison Avenue - NYC,Not Geo-tagged,b'@evilZ1 Please send us a private message with your contact info and we can help you further.',$MENTION$ Please send us a private message with your contact info and we can help you further.,Please send us a private message with your contact info and we can help you further.,please send private message contact info help,please send private message contact info help,[],{},{},0,0,[],,['a oh ho'],0.6124
1,2021-02-11,Thu Feb 11 23:53:15 +0000 2021,1360014066639601671,_QueenY17_,,Not Geo-tagged,b'exactly and you never shared private info that could directly link you to them. no one has to believe this.\xe2\x80\xa6 \xe2\x80\x94  https://t.co/lcTAGywN5o',exactly and you never shared private info that could directly link you to them. no one has to believe this. $URL$,exactly and you never shared private info that could directly link you to them. no one has to believe this.,exactly never shared private info could directly link one believe,exactly never share private info could directly link one believe,[],{},{},0,1,[],https://curiouscat.qa/Queen_Yas_/post/1182623832,[],-0.5
12,2021-02-11,Thu Feb 11 23:21:45 +0000 2021,1360006136209022976,AnneCronin5,Limerick,Not Geo-tagged,b'@jmwlk @seanohartigan @QuinlivanTD I agree. Public land should be for public &amp; affordable housing AND public health. Who benefits here? We need answers from our public reps on this. The inclusion of the AHB Cluid is a welcome move but why a reduction in units &amp; a private hospital? @ConorSheehan93 any further info?',$MENTION$ $MENTION$ $MENTION$ I agree. Public land should be for public &amp; affordable housing AND public health. Who benefits here? We need answers from our public reps on this. The inclusion of the AHB Cluid is a welcome move but why a reduction in units &amp; a private hospital? $MENTION$ any further info?,I agree. Public land should be for public &amp; affordable housing AND public health. Who benefits here? We need answers from our public reps on this. The inclusion of the AHB Cluid is a welcome move but why a reduction in units &amp; a private hospital? any further info?,agree public land public affordable housing and public health who benefits we need answers public reps the inclusion ahb cluid welcome move reduction units private hospital info,agree public land public affordable housing and public health who benefit need answer public rep the inclusion ahb cluid welcome move reduction unit private hospital info,[],{},{},1,7,[],,"['Jennifer MoroneyWard', 'Cllr Seán Hartigan', 'Maurice Quinlivan TD', 'Cllr Conor Sheehan']",0.6237
16,2021-02-11,Thu Feb 11 23:15:27 +0000 2021,1360004552733298688,SUPREMEKOURTNEE,on award tour.,Not Geo-tagged,b'@Tash_NoChill to put out someone\xe2\x80\x99s private or identifying info.',$MENTION$ to put out someones private or identifying info.,to put out someone s private or identifying info.,put someone private identifying info,put someone private identifying info,[],{},{},0,0,[],,['Tasha'],0.0
4,2021-02-11,Thu Feb 11 23:41:32 +0000 2021,1360011117423063040,WolfOfCovid19,"Santa Monica, CA",Not Geo-tagged,"b""$WOLFIE - We will be selling limited edition $GME  shirts. I'd like to invite just ONE special winner to our private viewing party for this amazing docu-series and to meet $WOLFIE on a yacht (perhaps get drunk?) lol.  More info coming so soon!""",$WOLFIE - We will be selling limited edition $GME shirts. I'd like to invite just ONE special winner to our private viewing party for this amazing docu-series and to meet $WOLFIE on a yacht (perhaps get drunk?) lol. More info coming so soon!,$WOLFIE - We will be selling limited edition $GME shirts. I'd like to invite just ONE special winner to our private viewing party for this amazing docu-series and to meet $WOLFIE on a yacht (perhaps get drunk?) lol. More info coming so soon!,wolfie we selling limited edition gme shirts like invite one special winner private viewing party amazing docu series meet wolfie yacht perhaps get drunk lol more info coming soon,wolfie sell limited edition gme shirt like invite one special winner private view party amazing docu series meet wolfie yacht perhaps get drunk lol more info come soon,[],{},{},0,7,[],,[],0.9422
5,2021-02-11,Thu Feb 11 23:35:22 +0000 2021,1360009565857865746,vola2vola,,Not Geo-tagged,b'@TheDanielBurge @TrendTrader_US Public sector employees are paid while on strike in France. Private sector employees aren\xe2\x80\x99t. This should give you a lot of info about the lazy f***s who give a bad rep to us all',$MENTION$ $MENTION$ Public sector employees are paid while on strike in France. Private sector employees arent. This should give you a lot of info about the lazy f***s who give a bad rep to us all,Public sector employees are paid while on strike in France. Private sector employees aren t. This should give you a lot of info about the lazy f**s who give a bad rep to us all,public sector employees paid strike france private sector employees this give lot info lazy give bad rep us,public sector employee pay strike france private sector employee this give lot info lazy give bad rep,[],{},{},0,1,[],,"['Daniel Burge', 'TrendTrader']",-0.7579
9,2021-02-11,Thu Feb 11 23:25:45 +0000 2021,1360007142305128449,Diana24543285,,Not Geo-tagged,"b'@ABHabsFan @nytimes Such rubbish. Even if 100 or 1000 friends talk about a letter , that is not same with publishing parts of it. We own the copyright,  as writers , and we choose what we make public from private info. Mail needed permission since published fragments'","$MENTION$ $MENTION$ Such rubbish. Even if $NUMBER$ or $NUMBER$ friends talk about a letter , that is not same with publishing parts of it. We own the copyright, as writers , and we choose what we make public from private info. Mail needed permission since published fragments","Such rubbish. Even if or friends talk about a letter , that is not same with publishing parts of it. We own the copyright, as writers , and we choose what we make public from private info. Mail needed permission since published fragments",such rubbish even friends talk letter publishing parts we copyright writers choose make public private info mail needed permission since published fragments,such rubbish even friend talk letter publishing part copyright writer choose make public private info mail need permission since publish fragment,[],{},{},0,10,[],,"['8-3-2 🌎🔴⚪️ (Dave Woolley)', 'The New York Times']",0.4767
13,2021-02-11,Thu Feb 11 23:21:09 +0000 2021,1360005985629327363,aw_osint,,Not Geo-tagged,"b'Hi #OSINT side of Twitter :) I would like to ask for help in a private research? I was asked to check if a worker coming to Germany to work, to Hamburg, can take the obligatory quarantine in a hotel. Could anyone point me to a a suitable source of information (site/contact info)?'","Hi $HASHTAG$ side of Twitter :) I would like to ask for help in a private research? I was asked to check if a worker coming to Germany to work, to Hamburg, can take the obligatory quarantine in a hotel. Could anyone point me to a a suitable source of information (site/contact info)?","Hi side of Twitter ) I would like to ask for help in a private research? I was asked to check if a worker coming to Germany to work, to Hamburg, can take the obligatory quarantine in a hotel. Could anyone point me to a a suitable source of information (site/contact info)?",hi side twitter would like ask help private research asked check worker coming germany work hamburg take obligatory quarantine hotel could anyone point suitable source information site contact info,hi side twitter would like ask help private research ask check worker come germany work hamburg take obligatory quarantine hotel could anyone point suitable source information site contact info,[],{},{},2,2,['OSINT'],,[],0.6767
19,2021-02-11,Thu Feb 11 23:05:23 +0000 2021,1360002018593673216,TedBastien,"Toronto, Ontario",Not Geo-tagged,"b""@JChurchRadio well, if you share peoples private info, that's what happens""","$MENTION$ well, if you share peoples private info, that's what happens","well, if you share peoples private info, that's what happens",well share peoples private info happens,well share people private info happen,[],{},{},1,2,[],,['Jimmy Church'],0.5106
