s_no,date,created_at,id_str,screen_name,user_location,geo-tagged_place,tweet_text,tweet_tokenized,tweet_cleaned,tweet_filtered,tweet_lemmatized,tweet_mentioned_organizations,tweet_tags_classified,tweet_orgs_classified,retweet_count,fav_count,hashtags,urls,mentions,vader_polarity
1,2021-03-11,Thu Mar 11 23:55:14 +0000 2021,1370161424991944705,battle2bedabest,,Not Geo-tagged,b'I censored the place so no private info on the location is leaked https://t.co/BCxo37edj9',I censored the place so no private info on the location is leaked $URL$,I censored the place so no private info on the location is leaked,censored place private info location leaked,censor place private info location leak,[],{},{},0,0,[],https://twitter.com/battle2bedabest/status/1370057425441685505,[],-0.6972
3,2021-03-11,Thu Mar 11 23:39:07 +0000 2021,1370157368391172097,AhgaseRori,🇱🇧,Not Geo-tagged,"b""@Rhea_Xael Yayy I'm glad they delete the private info \xf0\x9f\x92\x9a""",$MENTION$ Yayy I'm glad they delete the private info $EMOJI$,Yayy I'm glad they delete the private info,yayy glad delete private info,yayy glad delete private info,[],{},{},0,1,[],,['yareyare⁷₇🔗'],0.4588
38,2021-03-11,Thu Mar 11 21:47:55 +0000 2021,1370129382778490884,Allstate,,Not Geo-tagged,"b'@anabauer40 We are sorry to hear this. Please private message us a bit more info, so we can look into this. ^AG https://t.co/vYIVrwsUyL'","$MENTION$ We are sorry to hear this. Please private message us a bit more info, so we can look into this. ^AG $URL$","We are sorry to hear this. Please private message us a bit more info, so we can look into this. ^AG",we sorry hear please private message bit info look ag,sorry hear please private message bit info look ag,[],{},{},0,0,[],https://twitter.com/messages/compose?recipient_id=14275290,['Botanical Baker 🅱️🅱️'],0.3237
7,2021-03-11,Thu Mar 11 23:35:37 +0000 2021,1370156488447070211,Bigdaddyb64,"Salem, OR",Not Geo-tagged,"b'@sabced_ I do the same thing, I had to stop because people had loose lips with my private info. Trying to process it all without talking about it is so hard.'","$MENTION$ I do the same thing, I had to stop because people had loose lips with my private info. Trying to process it all without talking about it is so hard.","I do the same thing, I had to stop because people had loose lips with my private info. Trying to process it all without talking about it is so hard.",thing stop people loose lips private info trying process without talking hard,thing stop people loose lip private info try process without talk hard,[],{},{},0,1,[],,['Bria🌻'],-0.656
21,2021-03-11,Thu Mar 11 22:39:52 +0000 2021,1370142458324123650,PatrickBHenry,London,Not Geo-tagged,"b""@SuddenLife @Knitknurse No I've never I might ask a question or share info in private. Plus I only DM one person continually its great the instantaneous response and the privacy.""",$MENTION$ $MENTION$ No I've never I might ask a question or share info in private. Plus I only DM one person continually its great the instantaneous response and the privacy.,No I've never I might ask a question or share info in private. Plus I only DM one person continually its great the instantaneous response and the privacy.,no never might ask question share info private plus dm one person continually great instantaneous response privacy,no never may ask question share info private plus dm one person continually great instantaneous response privacy,[],{},{},0,1,[],,"['Chris Riches', 'Helen Bridgwood']",0.6249
12,2021-03-11,Thu Mar 11 23:14:25 +0000 2021,1370151153795702784,CNC_Manitoba,"Manitoba, Canada",Not Geo-tagged,b'Text for another 19 bill released...\n\n49 The Freedom of Information and Protection of Privacy Act\n\nSeems like we need more freedom of info from this government not less?\n\n#MysteryBillsMB #MysteryBillsRevealed #mbpoli https://t.co/qS6u51Npmo',Text for another $NUMBER$ bill released... $NUMBER$ The Freedom of Information and Protection of Privacy Act Seems like we need more freedom of info from this government not less? $HASHTAG$ $HASHTAG$ $HASHTAG$ $URL$,Text for another bill released.. The Freedom of Information and Protection of Privacy Act Seems like we need more freedom of info from this government not less?,text another bill released the freedom information protection privacy act seems like need freedom info government less,text another bill release the freedom information protection privacy act seem like need freedom info government less,[],{},{},1,4,"['MysteryBillsMB', 'MysteryBillsRevealed', 'mbpoli']",https://twitter.com/AlexBuchner/status/1370148006645821442,[],0.9041
28,2021-03-11,Thu Mar 11 22:18:19 +0000 2021,1370137032371081216,VerizonSupport,,Not Geo-tagged,"b'@jaeskyyy Looks like we might need to send a tech out. Can you send us a direct message, so we can get some account info in a private thread. ^JJG'","$MENTION$ Looks like we might need to send a tech out. Can you send us a direct message, so we can get some account info in a private thread. ^JJG","Looks like we might need to send a tech out. Can you send us a direct message, so we can get some account info in a private thread. ^JJG",looks like might need send tech can send direct message get account info private thread jjg,look like may need send tech can send direct message get account info private thread jjg,[],{},{},0,0,[],,['I’m In A Bind Nate !!!'],0.3612
5,2021-03-11,Thu Mar 11 23:36:57 +0000 2021,1370156824788361216,tanniegoodies,Jamaica,Not Geo-tagged,"b""It's going to take me some time to transfer the info for each person who signs up from my spreadsheets to the website so please give me some time!\n\n(PS: they are private and only you can access your data, so don't worry!)""","It's going to take me some time to transfer the info for each person who signs up from my spreadsheets to the website so please give me some time! (PS: they are private and only you can access your data, so don't worry!)","It's going to take me some time to transfer the info for each person who signs up from my spreadsheets to the website so please give me some time! (PS they are private and only you can access your data, so do not worry!)",it going take time transfer info person signs spreadsheets website please give time ps private access data worry,go take time transfer info person sign spreadsheet website please give time ps private access datum worry,[],{},{},1,3,[],,[],0.7387
25,2021-03-11,Thu Mar 11 22:34:11 +0000 2021,1370141025453367300,Leechang9017,Bitcoin Citadel,Not Geo-tagged,b'@Your_NLP_Coach @crypto_birb @ape_rture @ippjp @sister_birb @p2anno I am interested in the private mentorship. Do you have info about when is gonna be available again?',$MENTION$ $MENTION$ $MENTION$ $MENTION$ $MENTION$ $MENTION$ I am interested in the private mentorship. Do you have info about when is gonna be available again?,I am interested in the private mentorship. Do you have info about when is gonna be available again?,interested private mentorship do info gon na available,interested private mentorship do info gon na available,[],{},{},0,3,[],,"['Jimie', 'CRYPTO₿IRB', 'Ape/rture', 'ippjp 🦜', 'SisterBirb', 'Lady₿']",0.4019
6,2021-03-11,Thu Mar 11 23:35:46 +0000 2021,1370156523012435972,jasminemh94,Louisiana ➡ Houston TX,Not Geo-tagged,b'@eboneezza I REALLY WANNA KNOW THAT TOO!!! Who leaking private info or who breaking into people private accounts??',$MENTION$ I REALLY WANNA KNOW THAT TOO!!! Who leaking private info or who breaking into people private accounts??,I REALLY WANNA KNOW THAT TOO!! Who leaking private info or who breaking into people private accounts??,really wan na know that too who leaking private info breaking people private accounts,really wan na know that too who leak private info break people private account,[],{},{},1,1,[],,['Ebonyy💕'],0.0
