s_no,date,created_at,id_str,screen_name,user_location,geo-tagged_place,tweet_text,tweet_tokenized,tweet_cleaned,tweet_filtered,tweet_lemmatized,tweet_mentioned_organizations,tweet_tags_classified,tweet_orgs_classified,retweet_count,fav_count,hashtags,urls,mentions,vader_polarity
10,2021-03-27,Sat Mar 27 22:59:38 +0000 2021,1375945638005772291,conidave,volunteered TRUMP campaign,Not Geo-tagged,"b'@CrankyKat @SteenSN @RaGa__M @Arc_Unreal @redheadmom8 @CapturingChrist @SmashMammon @dryapologist @CSLewisDaily @GKCdaily @ModernDayDebate @ginaC777 He\xe2\x80\x99s a private account, but that\xe2\x80\x99s creepy! Now I understand why I was being questioned. Thank you for that info'","$MENTION$ $MENTION$ $MENTION$ $MENTION$ $MENTION$ $MENTION$ $MENTION$ $MENTION$ $MENTION$ $MENTION$ $MENTION$ $MENTION$ Hes a private account, but thats creepy! Now I understand why I was being questioned. Thank you for that info","He s a private account, but that s creepy! Now I understand why I was being questioned. Thank you for that info",he private account creepy now understand questioned thank info,private account creepy now understand question thank info,[],{},{},0,3,[],,"['Katherine McKinney ✝️\U0001fa70🐱🎹📚🌎', 'Stephen Steen', ""RaGa (From The Heaven's Kingdom)"", '✴️Arc_Unreal', 'Shelly Sangrey', 'Capturing Christianity', 'Institute for Christian Socialism', 'Dry Apologist', 'C. S. Lewis', 'G. K. Chesterton', 'Modern-Day Debate', 'gina C']",0.4482
2,2021-03-27,Sat Mar 27 23:48:04 +0000 2021,1375957828259606529,videocxnduit,"Seattle, WA",Not Geo-tagged,b'// did you dream hop into my dream?? Get out. What\xe2\x80\x99s wrong with you. This is private info. https://t.co/TcSHFLLz9d',// did you dream hop into my dream?? Get out. Whats wrong with you. This is private info. $URL$,// did you dream hop into my dream?? Get out. What s wrong with you. This is private info.,dream hop dream get what wrong this private info,dream hop dream get what wrong this private info,[],{},{},0,0,[],https://twitter.com/ofamayaheller/status/1375898797319012360,[],-0.1179
5,2021-03-27,Sat Mar 27 23:28:15 +0000 2021,1375952840015937539,DianeBerwick,"Shoreham-by-Sea, England","Shoreham-by-Sea, England, GB","b'I do not intend to put this info on my private phone, ever https://t.co/DJPax0zhoA'","I do not intend to put this info on my private phone, ever $URL$","I do not intend to put this info on my private phone, ever",intend put info private phone ever,intend put info private phone ever,[],{},{},1,1,[],https://twitter.com/medusanewsfeed/status/1338619566281400321,[],0.0
12,2021-03-27,Sat Mar 27 22:51:07 +0000 2021,1375943494938763266,HijabNurfitri,Indonesia,Not Geo-tagged,b'open private bo\ninclude /exclude\xf0\x9f\x8f\xa2 slot terbatas say\ninfo DM or Wa083143625103 \xf0\x9f\x93\xb2\n#vcssangek\n#vcsyuk #vcshot #angelsemarang\n#opensemarang\n#includejaksel\n#excludekediri\n#bisyarsemarang\n#bispaksemarang\n#TrustedBooking\n#TrustedAngels\n#Recomended4BO\n#vcs\n#vcsreal\n#vcscolmek #BOdepok https://t.co/dqVqOyhYLJ',open private bo include /exclude$EMOJI$ slot terbatas say info DM or Wa083143625103 $EMOJI$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $URL$,open private bo include /exclude slot terbatas say info DM or Wa083143625103,open private include exclude slot terbatas say info dm wa,open private include exclude slot terbata say info dm wa,[],{},{},1,2,"['vcssangek', 'vcsyuk', 'vcshot', 'angelsemarang', 'opensemarang', 'includejaksel', 'excludekediri', 'bisyarsemarang', 'bispaksemarang', 'TrustedBooking', 'TrustedAngels', 'Recomended4BO', 'vcs', 'vcsreal', 'vcscolmek', 'BOdepok']",,[],-0.2263
17,2021-03-27,Sat Mar 27 22:18:06 +0000 2021,1375935186806829056,Ronielane2,"Auckland, New Zealand",Not Geo-tagged,b'@Mykuhl @cjsbishop No private info was exposed',$MENTION$ $MENTION$ No private info was exposed,No private info was exposed,no private info exposed,no private info expose,[],{},{},0,0,[],,"['Michael Wagener', 'Christopher Bishop']",-0.3612
4,2021-03-27,Sat Mar 27 23:40:03 +0000 2021,1375955807070793731,techjunkiejh,,Not Geo-tagged,b'Hacker publishes private info of 2.3MILLION dating app users online https://t.co/YVVsQlnNF9 #databreach #CyberSecurity #TechJunkieNews https://t.co/KdmcNcf5m6',Hacker publishes private info of $NUMBER$MILLION dating app users online $URL$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $URL$,Hacker publishes private info of MILLION dating app users online,hacker publishes private info million dating app users online,hacker publish private info million date app user online,[],{},{},7,4,"['databreach', 'CyberSecurity', 'TechJunkieNews']",https://bit.ly/3trWCkk,[],0.0
7,2021-03-27,Sat Mar 27 23:07:38 +0000 2021,1375947649308893188,SA_College_Thot,"Johannesburg, South Africa",Not Geo-tagged,b'Miss Nina Fernandez will be your host that evening. \nExpect to see all that saxx\xf0\x9f\x94\x9e Exclusive entertainment\xf0\x9f\x8e\xb5\xf0\x9f\x8e\xa5\xf0\x9f\x92\xb8\nPrivate Chef &amp; primium drinks\xf0\x9f\x8d\xbe\nDM or Email for more info \xf0\x9f\x98\x98 @ Somewhere In South Africa https://t.co/Go8vaosV4q',Miss Nina Fernandez will be your host that evening. Expect to see all that saxx$EMOJI$ Exclusive entertainment$EMOJI$$EMOJI$$EMOJI$ Private Chef &amp; primium drinks$EMOJI$ DM or Email for more info $EMOJI$ $MENTION$ Somewhere In South Africa $URL$,Miss Nina Fernandez will be your host that evening. Expect to see all that saxx Exclusive entertainment Private Chef &amp; primium drinks DM or Email for more info Somewhere In South Africa,miss nina fernandez host evening expect see saxx exclusive entertainment private chef primium drinks dm email info somewhere in south africa,miss nina fernandez host evening expect see saxx exclusive entertainment private chef primium drink dm email info somewhere in south africa,[],{},{},0,0,[],https://www.instagram.com/p/CM8KaJWpPJM/?igshid=1wq8bzxyp1t13,[],0.4019
1,2021-03-27,Sat Mar 27 23:54:54 +0000 2021,1375959544153710604,FalunJimmy,"Gordita Beach, California",Not Geo-tagged,"b""he worked for Signal 88, which is a private LTD company with the sketchiest fucking name I've ever heard, like holy shit. I wasted a huge amount of time researching Signal 88 and there's zero info on the investors who started it, but it's based out of Omaha https://t.co/iGFpfWPQbz""","he worked for Signal $NUMBER$, which is a private LTD company with the sketchiest fucking name I've ever heard, like holy shit. I wasted a huge amount of time researching Signal $NUMBER$ and there's zero info on the investors who started it, but it's based out of Omaha $URL$","he worked for Signal , which is a private LTD company with the sketchiest fucking name I've ever heard, like holy shit. I wasted a huge amount of time researching Signal and there's zero info on the investors who started it, but it's based out of Omaha",worked signal private ltd company sketchiest fucking name ever heard like holy shit wasted huge amount time researching signal zero info investors started based omaha,worked signal private ltd company sketchiest fucking name ever hear like holy shit waste huge amount time research signal zero info investor start base omaha,[],{},{},1,16,[],,[],-0.25
3,2021-03-27,Sat Mar 27 23:46:34 +0000 2021,1375957447072964612,monkeymind23,You know where...,Not Geo-tagged,"b""Does the #CDC get a copy of my private health info (name, SSN, dob, address, etc.) when I get my #Covid #vaccine? @CDCgov  logo is on my card, so I'm assuming multiple agencies are creating a database of this info...right? #Privacy #plandemic""","Does the $HASHTAG$ get a copy of my private health info (name, SSN, dob, address, etc.) when I get my $HASHTAG$ $HASHTAG$? $MENTION$ logo is on my card, so I'm assuming multiple agencies are creating a database of this info...right? $HASHTAG$ $HASHTAG$","Does the get a copy of my private health info (name, SSN, dob, address, etc.) when I get my ? logo is on my card, so I'm assuming multiple agencies are creating a database of this info..right?",does get copy private health info name ssn dob address etc get logo card assuming multiple agencies creating database info right,do get copy private health info name ssn dob address etc get logo card assume multiple agency create database info right,[],{},{},0,0,"['CDC', 'Covid', 'vaccine', 'Privacy', 'plandemic']",,['CDC'],0.3736
9,2021-03-27,Sat Mar 27 23:00:12 +0000 2021,1375945782231240705,trueintegrity87,Canada,Not Geo-tagged,b'@normsworld @SNFaizalKhamisa This form requests some private info how do we know where the info is stored?',$MENTION$ $MENTION$ This form requests some private info how do we know where the info is stored?,This form requests some private info how do we know where the info is stored?,this form requests private info know info stored,this form request private info know info store,[],{},{},0,0,[],,"['Trustee Norm Di Pasquale TCDSB Ward 9', 'Faizal Khamisa']",0.0
