s_no,date,created_at,id_str,screen_name,user_location,geo-tagged_place,tweet_text,tweet_tokenized,tweet_cleaned,tweet_filtered,tweet_lemmatized,tweet_mentioned_organizations,tweet_tags_classified,tweet_orgs_classified,retweet_count,fav_count,hashtags,urls,mentions,vader_polarity
6,2021-01-08,Fri Jan 08 23:50:17 +0000 2021,1347692131616481281,RockstarSupport,"New York, NY",Not Geo-tagged,b'@thxtsdaee We can look into this further for you if you submit your account info in a private request here: https://t.co/iLlf5byDom *TB',$MENTION$ We can look into this further for you if you submit your account info in a private request here: $URL$ *TB,We can look into this further for you if you submit your account info in a private request here *TB,we look submit account info private request tb,look submit account info private request tb,[],{},{},0,0,[],http://rsg.ms/support,['Davion'],0.0
1,2021-01-08,Fri Jan 08 23:58:33 +0000 2021,1347694211521540098,therealToddRice,"Pottstown, PA",Not Geo-tagged,b'@0n3_c @Adamsbomb @CarmeloDiBarto1 @RepSwalwell @FBI @ElijahSchaffer A private conversation with melania and \xe2\x80\x9cunverified intel\xe2\x80\x9d (whatever that means) is not classified info. That\xe2\x80\x99s the difference.',$MENTION$ $MENTION$ $MENTION$ $MENTION$ $MENTION$ $MENTION$ A private conversation with melania and unverified intel (whatever that means) is not classified info. Thats the difference.,A private conversation with melania and unverified intel (whatever that means) is not classified info. That s the difference., private conversation melania unverified intel whatever means classified info that difference,  private conversation melania unverified intel whatever mean classified info that difference,[],{},{},0,1,[],,"['Marty McSwoligan 🇺🇸🇮🇪', 'Adamsbomb', 'Carmelo DiBartolo', 'Rep. Eric Swalwell', 'FBI', 'ELIJAH SCHAFFER']",0.0
3,2021-01-08,Fri Jan 08 23:54:14 +0000 2021,1347693123019952129,JGBratwurst,,Not Geo-tagged,b'I hope to god he tries to go on Parler and immediately gets all his private info hacked and stolen',I hope to god he tries to go on Parler and immediately gets all his private info hacked and stolen,I hope to god he tries to go on Parler and immediately gets all his private info hacked and stolen,hope god tries go parler immediately gets private info hacked stolen,hope god try go parler immediately get private info hack steal,[],{},{},0,1,[],,[],-0.2263
15,2021-01-08,Fri Jan 08 23:32:07 +0000 2021,1347687559455940610,ActiveSpeaking,Tasikmalaya,Not Geo-tagged,b'Private English Course for Elementary and Junior High School || Info : 083826757704 || Speaking and Pronunciation',Private English Course for Elementary and Junior High School || Info : $NUMBER$ || Speaking and Pronunciation,Private English Course for Elementary and Junior High School || Info || Speaking and Pronunciation,private english course elementary junior high school info speaking pronunciation,private english course elementary junior high school info speak pronunciation,[],{},{},0,0,[],,[],0.0
9,2021-01-08,Fri Jan 08 23:39:13 +0000 2021,1347689346200195078,OneTonyOnly,"Philadelphia, PA",Not Geo-tagged,b'@loveabletom1 @Nora0316 @mattgaetz \xf0\x9f\x98\x82 not really.  They have your private info.',$MENTION$ $MENTION$ $MENTION$ $EMOJI$ not really. They have your private info.,not really. They have your private info.,really they private info,really private info,[],{},{},0,1,[],,"['Thomas', 'Layla', 'Matt Gaetz']",0.0
4,2021-01-08,Fri Jan 08 23:54:10 +0000 2021,1347693109849841666,cal3bsumpter,"East Canton, OH",Not Geo-tagged,b'@ClipsBurner @ShamsCharania 1.) it\xe2\x80\x99s a private company meaning they can take him off the platform if they think it\xe2\x80\x99s for the best. 2.) he incited violence with his tweet that led to treason. 3.) he\xe2\x80\x99s constantly tweeted out false info and lies and is spreading wrongful news been doing it forever. lol',$MENTION$ $MENTION$ $NUMBER$.) its a private company meaning they can take him off the platform if they think its for the best. $NUMBER$.) he incited violence with his tweet that led to treason. $NUMBER$.) hes constantly tweeted out false info and lies and is spreading wrongful news been doing it forever. lol,.) it s a private company meaning they can take him off the platform if they think it s for the best. .) he incited violence with his tweet that led to treason. .) he s constantly tweeted out false info and lies and is spreading wrongful news been doing it forever. lol,private company meaning take platform think best incited violence tweet led treason constantly tweeted false info lies spreading wrongful news forever lol,private company mean take platform think best incite violence tweet lead treason constantly tweet false info lie spread wrongful news forever lol,[],{},{},0,1,[],,"['ClipsBurner', 'Shams Charania']",-0.4215
48,2021-01-08,Fri Jan 08 22:00:12 +0000 2021,1347664427273826304,Homeless_Info,London + 42 other locations 👇,Not Geo-tagged,b'@Lookout_Joe @SteEfC @JimBrimmacombe I can\xe2\x80\x99t view the Instagram post because the account is private',$MENTION$ $MENTION$ $MENTION$ I cant view the Instagram post because the account is private,I can t view the Instagram post because the account is private,view instagram post account private,view instagram post account private,[],{},{},0,0,[],,"['Militancy for the Masses', '.', 'jimmybrimmacombe']",0.0
26,2021-01-08,Fri Jan 08 22:58:17 +0000 2021,1347679046327361536,hansen_chas,,Not Geo-tagged,"b""@Green_Footballs @parlertakes Yeah, I'm not volunteering private info on behalf of neo-Nazis.""","$MENTION$ $MENTION$ Yeah, I'm not volunteering private info on behalf of neo-Nazis.","Yeah, I'm not volunteering private info on behalf of neo-Nazis.",yeah volunteering private info behalf neo nazis,yeah volunteer private info behalf neo nazis,[],{},{},0,0,[],,"['Charles Johnson', 'Parlertakes🇺🇸']",0.296
46,2021-01-08,Fri Jan 08 22:00:49 +0000 2021,1347664581120860160,RipsRowland,,Not Geo-tagged,b'@GabrielMartin67 yes please update as this one is private what is in your info here',$MENTION$ yes please update as this one is private what is in your info here,yes please update as this one is private what is in your info here,yes please update one private info,yes please update one private info,[],{},{},0,0,[],,"[""Gabriel 'G' Martin ⭐⭐⭐""]",0.6124
36,2021-01-08,Fri Jan 08 22:24:02 +0000 2021,1347670425384337408,TessaMentus,Albuquerque,Not Geo-tagged,b'@virginiacnm This is awesome.  Private message me your info.  Would love to do something on this next week.',$MENTION$ This is awesome. Private message me your info. Would love to do something on this next week.,This is awesome. Private message me your info. Would love to do something on this next week.,this awesome private message info would love something next week,this awesome private message info would love something next week,[],{},{},0,0,[],,['Virginia Trujillo'],0.8519
30,2021-01-08,Fri Jan 08 22:49:01 +0000 2021,1347676713141080076,Kerasotes,"Secaucus, New Jersey",Not Geo-tagged,b'All of this could be yours for you and up to 20 of your friends and family with a Private Movie Screening! More info &amp; Ticketing: https://t.co/wTdJLVNCMS #FridayFeeling #CinemaSafe #MakeItICONIC #secaucusnj https://t.co/F0zmGVppdB',All of this could be yours for you and up to $NUMBER$ of your friends and family with a Private Movie Screening! More info &amp; Ticketing: $URL$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $URL$,All of this could be yours for you and up to of your friends and family with a Private Movie Screening! More info &amp; Ticketing,all could friends family private movie screening more info ticketing,all could friend family private movie screen more info ticketing,[],{},{},0,1,"['FridayFeeling', 'CinemaSafe', 'MakeItICONIC', 'secaucusnj']",https://bit.ly/2Hm5Hbh,[],0.5255
