s_no,date,created_at,id_str,screen_name,user_location,geo-tagged_place,tweet_text,tweet_tokenized,tweet_cleaned,tweet_filtered,tweet_lemmatized,tweet_mentioned_organizations,tweet_tags_classified,tweet_orgs_classified,retweet_count,fav_count,hashtags,urls,mentions,vader_polarity
3,2021-01-22,Fri Jan 22 23:47:57 +0000 2021,1352764971889926144,PupBlaze420,Helheim,Not Geo-tagged,b'@homeofsexuals @tevinauguste 4th richest man by stealing peoples private info and selling it',$MENTION$ $MENTION$ $NUMBER$th richest man by stealing peoples private info and selling it,th richest man by stealing peoples private info and selling it,richest man stealing peoples private info selling,rich man steal people private info selling,[],{},{},0,2,[],,"['buttplug ransomware', 'tevin 💀🔪']",-0.0772
7,2021-01-22,Fri Jan 22 23:37:38 +0000 2021,1352762377058488320,radicalcentri19,The Coast,Not Geo-tagged,"b""Healing the nation by leaking your political rival's private financial info https://t.co/xv9glQP0FU""",Healing the nation by leaking your political rival's private financial info $URL$,Healing the nation by leaking your political rival's private financial info,healing nation leaking political rival private financial info,healing nation leak political rival private financial info,[],{},{},0,0,[],https://twitter.com/postpolitics/status/1352756360950251520,[],0.0
6,2021-01-22,Fri Jan 22 23:44:19 +0000 2021,1352764058047455232,kinkyromi,He/him ♡ 18 y/o,Not Geo-tagged,"b""@DI0RNMIN Stay safe, ok? It seems like this person is getting some private info about you. I may not know you well, but I'm scared for you.""","$MENTION$ Stay safe, ok? It seems like this person is getting some private info about you. I may not know you well, but I'm scared for you.","Stay safe, ok? It seems like this person is getting some private info about you. I may not know you well, but I'm scared for you.",stay safe it seems like person getting private info may know well scared,stay safe seem like person get private info may know well scared,[],{},{},0,0,[],,['HiYORi / got hacked'],-0.373
9,2021-01-22,Fri Jan 22 23:17:06 +0000 2021,1352757211639013379,AnthonyVitti1,,Not Geo-tagged,b'@MikeOLoughlin I hope that info is kept private',$MENTION$ I hope that info is kept private,I hope that info is kept private,hope info kept private,hope info keep private,[],{},{},0,0,[],,"[""Michael J. O'Loughlin""]",0.4404
23,2021-01-22,Fri Jan 22 22:10:13 +0000 2021,1352740379175469056,SFFMT,Montana,Not Geo-tagged,"b'@Bill_Maxwell_ May I ask where you live? You can DM if it\xe2\x80\x99s private info. Town, state. \nTY.'","$MENTION$ May I ask where you live? You can DM if its private info. Town, state. TY.","May I ask where you live? You can DM if it s private info. Town, state. TY.",may ask live you dm private info town state ty,may ask live dm private info town state ty,[],{},{},0,1,[],,['Bill Maxwell 😷 #BuildBackBetter'],0.0
21,2021-01-22,Fri Jan 22 22:19:06 +0000 2021,1352742613485551618,ICONMinneapolis,"Minneapolis, MN",Not Geo-tagged,b'Join us for your very own Private Screening of #Fatale for up to 20 people! More info &amp; ticketing: https://t.co/CRAt844yPp #MakeItICONIC https://t.co/3B3Jnemm3B',Join us for your very own Private Screening of $HASHTAG$ for up to $NUMBER$ people! More info &amp; ticketing: $URL$ $HASHTAG$ $URL$,Join us for your very own Private Screening of for up to people! More info &amp; ticketing,join private screening people more info ticketing,join private screen people more info ticketing,[],{},{},0,0,"['Fatale', 'MakeItICONIC']",https://bit.ly/2Hm5Hbh,[],0.3595
13,2021-01-22,Fri Jan 22 23:01:27 +0000 2021,1352753271388205056,TeamYouTube,"San Bruno, CA",Not Geo-tagged,"b'@Ticcy16 To clarify \xe2\x80\x93 only valid public watch hours from the last 12 months count towards the monetization threshold, not views from private videos. More info here: https://t.co/wNS4c1H0Zs. Let us know if you have any other questions.'","$MENTION$ To clarify only valid public watch hours from the last $NUMBER$ months count towards the monetization threshold, not views from private videos. More info here: $URL$. Let us know if you have any other questions.","To clarify only valid public watch hours from the last months count towards the monetization threshold, not views from private videos. More info here . Let us know if you have any other questions.",to clarify valid public watch hours last months count towards monetization threshold views private videos more info let know questions,to clarify valid public watch hour last month count towards monetization threshold view private video more info let know question,[],{},{},0,1,[],https://yt.be/help/ECX1,['Ticcy'],0.0
14,2021-01-22,Fri Jan 22 22:53:39 +0000 2021,1352751306503553025,KristieTheUni,,Not Geo-tagged,b'Imagine leaking someone\xe2\x80\x99s private info \xf0\x9f\xa4\xa2\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f',Imagine leaking someones private info $EMOJI$$EMOJI$,Imagine leaking someone s private info,imagine leaking someone private info,imagine leak someone private info,[],{},{},0,9,[],,[],0.0
27,2021-01-22,Fri Jan 22 21:57:04 +0000 2021,1352737068368224256,tally_dad,"Florida, USA",Not Geo-tagged,b'@overit_miss DuckDuckGo is no longer good. They share private info too.',$MENTION$ DuckDuckGo is no longer good. They share private info too.,DuckDuckGo is no longer good. They share private info too.,duckduckgo longer good they share private info,duckduckgo long good share private info,[],{},{},0,1,[],,['M👀dy Over it 🌪🌪🌪🌪🌪🌪🌪'],-0.3412
1,2021-01-22,Fri Jan 22 23:56:58 +0000 2021,1352767242979651585,auroradobro,,Not Geo-tagged,"b""@NiobiumEmpress He took persuading to get that far. His concern was that he didn't know what to prescribe (dosage, delivery etc) and how to monitor it. When I finally got this info from a private provider  he was blocked as the NHS decided this provider was problematic .""","$MENTION$ He took persuading to get that far. His concern was that he didn't know what to prescribe (dosage, delivery etc) and how to monitor it. When I finally got this info from a private provider he was blocked as the NHS decided this provider was problematic .","He took persuading to get that far. His concern was that he did not know what to prescribe (dosage, delivery etc) and how to monitor it. When I finally got this info from a private provider he was blocked as the NHS decided this provider was problematic .",he took persuading get far his concern know prescribe dosage delivery etc monitor when finally got info private provider blocked nhs decided provider problematic,take persuade get far concern know prescribe dosage delivery etc monitor when finally get info private provider block nhs decide provider problematic,[],{},{},0,0,[],,['Lady Lana 🌹'],-0.6124
