s_no,date,created_at,id_str,screen_name,user_location,geo-tagged_place,tweet_text,tweet_tokenized,tweet_cleaned,tweet_filtered,tweet_lemmatized,tweet_mentioned_organizations,tweet_tags_classified,tweet_orgs_classified,retweet_count,fav_count,hashtags,urls,mentions,vader_polarity
4,2021-03-02,Tue Mar 02 23:34:14 +0000 2021,1366894649240133633,TheeSkipper,St. Louis ,Not Geo-tagged,b'@Tony_Be Selling insider info to a private discord?? \xf0\x9f\x91\x80\xf0\x9f\x91\x80\xf0\x9f\x91\x80 https://t.co/dJUIkHW2GF',$MENTION$ Selling insider info to a private discord?? $EMOJI$$EMOJI$$EMOJI$ $URL$,Selling insider info to a private discord??,selling insider info private discord,sell insider info private discord,[],{},{},0,1,[],https://twitter.com/landforce/status/1366800461316128771,['Government Denies Knowledge'],-0.4696
5,2021-03-02,Tue Mar 02 23:32:58 +0000 2021,1366894329030201348,MetroNorth,New York,Not Geo-tagged,b'@Drago_930 You can send a private message or submit your concern on the web page https://t.co/s5GPiL3wzG\xe2\x80\xa6 - Appreciate your feedback. ^mc',$MENTION$ You can send a private message or submit your concern on the web page $URL$ - Appreciate your feedback. ^mc,You can send a private message or submit your concern on the web page - Appreciate your feedback. ^mc,you send private message submit concern web page appreciate feedback,send private message submit concern web page appreciate feedback,[],{},{},0,0,[],http://new.mta.info/customer-feedb,['Christine Drago'],0.4019
23,2021-03-02,Tue Mar 02 22:27:07 +0000 2021,1366877759704756227,RHTCQUlNN,he/they/its/xe,Not Geo-tagged,"b""@AnythingAustina @RHPositivity messed up with my phone number and some other private info so it got restricted, there's no need to worry abt it !""","$MENTION$ $MENTION$ messed up with my phone number and some other private info so it got restricted, there's no need to worry abt it !","messed up with my phone number and some other private info so it got restricted, there's no need to worry abt it !",messed phone number private info got restricted need worry abt,messed phone number private info get restrict need worry abt,[],{},{},0,1,[],,"['lil online', 'Royale High Positivity']",-0.8539
12,2021-03-02,Tue Mar 02 23:07:55 +0000 2021,1366888026211819527,vpatrickgroup,"123 E Court Street, Urbana, OH",Not Geo-tagged,b'\xf0\x9f\x93\xb2 Call Us Today for your private showing of this home! \xf0\x9f\x8f\xa1\n\xf0\x9f\x96\xa5\xef\xb8\x8f More Info: https://t.co/8PeLIwOEL2 https://t.co/fXhF0Xse06 https://t.co/mYqMg1cEIY',$EMOJI$ Call Us Today for your private showing of this home! $EMOJI$ $EMOJI$ More Info: $URL$ $URL$ $URL$,Call Us Today for your private showing of this home! More Info,call us today private showing home more info,call today private show home more info,[],{},{},0,0,[],"https://647DorothyMooreAve.auto.remax.com/, http://www.facebook.com/213721108678615_3990360887681266",[],0.0
19,2021-03-02,Tue Mar 02 22:45:03 +0000 2021,1366882271920156674,CastanetNews,"Kelowna, BC",Not Geo-tagged,"b""Diners' info compromised? (BC) https://t.co/Z2WRhIKYXJ""",Diners' info compromised? (BC) $URL$,Diners' info compromised? (BC),diners info compromised bc,diners info compromise bc,[],{},{},1,0,[],https://bit.ly/3rePtlS,[],0.0
14,2021-03-02,Tue Mar 02 23:02:40 +0000 2021,1366886706440462345,TWoody1x,,Not Geo-tagged,"b'@sap1028 @GOPChairwoman He\xe2\x80\x99s a government employee not a private sector leader. Paid by public, info should be public'","$MENTION$ $MENTION$ Hes a government employee not a private sector leader. Paid by public, info should be public","He s a government employee not a private sector leader. Paid by public, info should be public",he government employee private sector leader paid public info public,government employee private sector leader pay public info public,[],{},{},0,2,[],,"['Susan P.', 'Ronna McDaniel']",0.0
44,2021-03-02,Tue Mar 02 21:32:31 +0000 2021,1366864016233086978,EssenceMurjani,"New York, NY",Not Geo-tagged,b'private Nike info..... https://t.co/EpXzsLJOvF',private Nike info..... $URL$,private Nike info..,private nike info,private nike info,[],{},{},0,0,[],https://twitter.com/landforce/status/1366782898343272451,[],0.0
1,2021-03-02,Tue Mar 02 23:50:12 +0000 2021,1366898666825342977,katebmaxwell,"Mendocino County, CA",Not Geo-tagged,"b'It hasn\xe2\x80\x99t been easy for reporters to get good information about COVID outbreaks in jails &amp; prisons from public officials, much less private facilities\xe2\x80\x94 now GEO Group is retaliating against SF Bayview\xe2\x80\x99s @MalikWa22046569 for sharing info with @48hills: https://t.co/ge86jrwT6A'","It hasnt been easy for reporters to get good information about COVID outbreaks in jails &amp; prisons from public officials, much less private facilities now GEO Group is retaliating against SF Bayviews $MENTION$ for sharing info with $MENTION$: $URL$","It hasn t been easy for reporters to get good information about COVID outbreaks in jails &amp; prisons from public officials, much less private facilities now GEO Group is retaliating against SF Bayview s for sharing info with",it easy reporters get good information covid outbreaks jails prisons public officials much less private facilities geo group retaliating sf bayview sharing info,easy reporter get good information covid outbreak jails prison public official much less private facility geo group retaliate sf bayview share info,[],{},{},0,0,[],https://twitter.com/julienball1/status/1365870952949575685,"['Malik Washington', '48 Hills']",0.8225
21,2021-03-02,Tue Mar 02 22:34:02 +0000 2021,1366879500626190343,techjunkiejh,,Not Geo-tagged,b'Hacker publishes private info of 2.3MILLION dating app users online https://t.co/YVVsQlnNF9 #databreach #CyberSecurity #TechJunkieNews https://t.co/p4TqKjZxIw',Hacker publishes private info of $NUMBER$MILLION dating app users online $URL$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $URL$,Hacker publishes private info of MILLION dating app users online,hacker publishes private info million dating app users online,hacker publish private info million date app user online,[],{},{},1,1,"['databreach', 'CyberSecurity', 'TechJunkieNews']",https://bit.ly/3trWCkk,[],0.0
40,2021-03-02,Tue Mar 02 21:49:04 +0000 2021,1366868180845490178,botemiya,,Not Geo-tagged,"b""A confidential message from Chaldea...? I didn't know they had my private contact info.""",A confidential message from Chaldea...? I didn't know they had my private contact info.,A confidential message from Chaldea..? I did not know they had my private contact info., confidential message chaldea know private contact info,  confidential message chaldea know private contact info,[],{},{},0,0,[],,[],0.0
24,2021-03-02,Tue Mar 02 22:25:29 +0000 2021,1366877347648073730,fairypocky,,Not Geo-tagged,b'@leaahaah i don\xe2\x80\x99t wanna posts @ bc her minions like to reveal private info',$MENTION$ i dont wanna posts $MENTION$ bc her minions like to reveal private info,i don t wanna posts bc her minions like to reveal private info,wan na posts minions like reveal private info,wan na post minion like reveal private info,[],{},{},0,0,[],,['✨ leah ✨'],0.3612
32,2021-03-02,Tue Mar 02 22:01:50 +0000 2021,1366871396840853504,RockstarSupport,"New York, NY",Not Geo-tagged,b'@SagaGlitchy We can look into this further for you if you submit your account info in a private request here: https://t.co/iLlf5byDom *BK',$MENTION$ We can look into this further for you if you submit your account info in a private request here: $URL$ *BK,We can look into this further for you if you submit your account info in a private request here *BK,we look submit account info private request bk,look submit account info private request bk,[],{},{},0,0,[],http://rsg.ms/support,['Saga Glitchy Wallin'],0.0
2,2021-03-02,Tue Mar 02 23:45:03 +0000 2021,1366897368583569409,iWebzConnect,,Not Geo-tagged,b'Sandstorm is an open-source platform that enables non-technical end users to install and run productivity apps on private servers. Install Sandstorm apps on Ubuntu in Amazon EC2 within 10 minutes. https://t.co/In1M7HPnSS',Sandstorm is an open-source platform that enables non-technical end users to install and run productivity apps on private servers. Install Sandstorm apps on Ubuntu in Amazon EC2 within $NUMBER$ minutes. $URL$,Sandstorm is an open-source platform that enables non-technical end users to install and run productivity apps on private servers. Install Sandstorm apps on Ubuntu in Amazon EC2 within minutes.,sandstorm open source platform enables non technical end users install run productivity apps private servers install sandstorm apps ubuntu amazon ec within minutes,sandstorm open source platform enable non technical end user install run productivity app private server install sandstorm app ubuntu amazon ec within minute,[],{},{},0,0,[],https://buff.ly/2ImCNrO,[],0.1779
27,2021-03-02,Tue Mar 02 22:19:37 +0000 2021,1366875868962848768,Missmegs16,,Not Geo-tagged,b'\xe2\x9d\xa4Private smokey chats\xe2\x9d\xa4\n\xf0\x9f\x92\x8bJOI\n\xf0\x9f\x92\x8bGF chats \n\xf0\x9f\x92\x8bRole-play\nDM me for more info \xe2\x9d\xa3\n#smokingfetish #smokinggirls #smokingshot #smokerchick https://t.co/D3Ffe7As0e',$EMOJI$Private smokey chats$EMOJI$ $EMOJI$JOI $EMOJI$GF chats $EMOJI$Role-play DM me for more info $EMOJI$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $URL$,Private smokey chats JOI GF chats Role-play DM me for more info,private smokey chats joi gf chats role play dm info,private smokey chat joi gf chat role play dm info,[],{},{},5,42,"['smokingfetish', 'smokinggirls', 'smokingshot', 'smokerchick']",,[],0.0
