s_no,date,created_at,id_str,screen_name,user_location,geo-tagged_place,tweet_text,tweet_tokenized,tweet_cleaned,tweet_filtered,tweet_lemmatized,tweet_mentioned_organizations,tweet_tags_classified,tweet_orgs_classified,retweet_count,fav_count,hashtags,urls,mentions,vader_polarity
14,2021-03-08,Mon Mar 08 23:23:52 +0000 2021,1369066367643746304,InabaQueen, parody.,Not Geo-tagged,b'\xe2\x9d\x9dI am going to murder Futaba for leaking info that should have stayed private.\xe2\x9d\x9e',$EMOJI$I am going to murder Futaba for leaking info that should have stayed private.$EMOJI$,I am going to murder Futaba for leaking info that should have stayed private.,going murder futaba leaking info stayed private,go murder futaba leak info stay private,[],{},{},0,0,[],,[],-0.6908
4,2021-03-08,Mon Mar 08 23:47:14 +0000 2021,1369072245159587842,ArtistNuevo,,Not Geo-tagged,b'@GoldRozez Leaking private info maybe? Gives option to select tweets to report.',$MENTION$ Leaking private info maybe? Gives option to select tweets to report.,Leaking private info maybe? Gives option to select tweets to report.,leaking private info maybe gives option select tweets report,leak private info maybe give option select tweet report,[],{},{},0,0,[],,['Roze Gold🌹🏆'],0.0
36,2021-03-08,Mon Mar 08 21:56:01 +0000 2021,1369044259949707267,tterri56,,"Mastic, NY, US",b'@kjohnsononair Too much info  Im happy there in a be/er place and Harry did not want to relive that pain It should have been private not public',$MENTION$ Too much info Im happy there in a be/er place and Harry did not want to relive that pain It should have been private not public,Too much info Im happy there in a be/er place and Harry did not want to relive that pain It should have been private not public,too much info im happy place harry want relive pain it private public,too much info be happy place harry want relive pain private public,[],{},{},0,0,[],,['Kristine Johnson'],0.0459
8,2021-03-08,Mon Mar 08 23:31:45 +0000 2021,1369068350010232841,Mephistopheleas,Okie,Not Geo-tagged,b'@DrJaneInGA @james_roe @VP What private info on Harris do you fucking have??',$MENTION$ $MENTION$ $MENTION$ What private info on Harris do you fucking have??,What private info on Harris do you fucking have??,what private info harris fucking,what private info harris fuck,[],{},{},0,1,[],,"['Dr. Jane in GA😷🏡💙', 'james_roe', 'Vice President Kamala Harris']",0.0
1,2021-03-08,Mon Mar 08 23:54:23 +0000 2021,1369074047531683842,ACottonHuman,,Not Geo-tagged,"b'@YourFavIsSS Nah mate he nothing, Dream hasn\xe2\x80\x99t said anything on his sexuality. He considers is private info.'","$MENTION$ Nah mate he nothing, Dream hasnt said anything on his sexuality. He considers is private info.","Nah mate he nothing, Dream hasn t said anything on his sexuality. He considers is private info.",nah mate nothing dream said anything sexuality he considers private info,nah mate nothing dream say anything sexuality consider private info,[],{},{},0,0,[],,['Your Favorite Is Super Straight'],-0.2824
33,2021-03-08,Mon Mar 08 22:00:32 +0000 2021,1369045396069171201,magpieaj,Isla Sorna,Not Geo-tagged,"b""@firebird_june @Microrapterr I mean maybe? I guess it would be effective, but I'm not sure if I'm comfortable sharing my private info with them\xf0\x9f\xa4\x94""","$MENTION$ $MENTION$ I mean maybe? I guess it would be effective, but I'm not sure if I'm comfortable sharing my private info with them","I mean maybe? I guess it would be effective, but I'm not sure if I'm comfortable sharing my private info with them",mean maybe guess would effective sure comfortable sharing private info,mean maybe guess would effective sure comfortable share private info,[],{},{},0,1,[],,"['June', 'SMicrorapterr']",0.8297
9,2021-03-08,Mon Mar 08 23:31:37 +0000 2021,1369068318615764997,Rah_maAyu,,Not Geo-tagged,"b'avail\nopen private bo, vcs jg bisa\ninclude/exclude, full service\ninfo DM or wa 0895324906577\n\n#expobogor\n#angelbogor\n#includeroom\n#excluderoom\n#bispakbogor  \n#bisyarbogor\n#TrustedBooking\n#recomendedbo\n#vcs\n#vcsreal\n#vcstrusted\n\nhttps://t.co/HH7DYXtSbq'","avail open private bo, vcs jg bisa include/exclude, full service info DM or wa $NUMBER$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $URL$","avail open private bo, vcs jg bisa include/exclude, full service info DM or wa",avail open private vcs bisa include exclude full service info dm wa,avail open private vcs bisa include exclude full service info dm wa,[],{},{},0,0,"['expobogor', 'angelbogor', 'includeroom', 'excluderoom', 'bispakbogor', 'bisyarbogor', 'TrustedBooking', 'recomendedbo', 'vcs', 'vcsreal', 'vcstrusted']",,[],0.0
22,2021-03-08,Mon Mar 08 22:59:55 +0000 2021,1369060340789473284,USlangs,India,Not Geo-tagged,b'These Are The Best Ways To Remove Private Hair!\nhttps://t.co/UJcUYaMY0G',These Are The Best Ways To Remove Private Hair! $URL$,These Are The Best Ways To Remove Private Hair!,these are the best ways to remove private hair,these be the good way to remove private hair,[],{},{},6,0,[],https://viralpost.info/y5bW33,[],0.6696
3,2021-03-08,Mon Mar 08 23:49:34 +0000 2021,1369072833146593280,McBlondeLand,United States,Not Geo-tagged,"b'@TraceyRyniec Oprah explained this AM that the Private Secretary is the CEO of ""The Firm"" (basically controlling the info the Queen hears and who gets into see her).'","$MENTION$ Oprah explained this AM that the Private Secretary is the CEO of ""The Firm"" (basically controlling the info the Queen hears and who gets into see her).","Oprah explained this AM that the Private Secretary is the CEO of ""The Firm"" (basically controlling the info the Queen hears and who gets into see her).",oprah explained am private secretary ceo the firm basically controlling info queen hears gets see,oprah explain am private secretary ceo the firm basically control info queen hears get see,[],{},{},0,0,[],,['Tracey Ryniec'],0.0
23,2021-03-08,Mon Mar 08 22:59:52 +0000 2021,1369060328068288517,gamepistol,,Not Geo-tagged,b'Projekt Melody has come out #NuxisOver HE PRESSURED USING PRIVATE INFO ON HER so she cooperated in streams!!',Projekt Melody has come out $HASHTAG$ HE PRESSURED USING PRIVATE INFO ON HER so she cooperated in streams!!,Projekt Melody has come out HE PRESSURED USING PRIVATE INFO ON HER so she cooperated in streams!!,projekt melody come he pressured using private info on her cooperated streams,projekt melody come pressure use private info on cooperate stream,[],{},{},0,1,['NuxisOver'],,[],-0.4968
