s_no,date,created_at,id_str,screen_name,user_location,geo-tagged_place,tweet_text,tweet_tokenized,tweet_cleaned,tweet_filtered,tweet_lemmatized,tweet_mentioned_organizations,tweet_tags_classified,tweet_orgs_classified,retweet_count,fav_count,hashtags,urls,mentions,vader_polarity
49,2021-03-26,Fri Mar 26 20:41:27 +0000 2021,1375548474733789187,WeaponizedNews,"Fresno, CA",Not Geo-tagged,b'@KismetandHope What private info do you need?',$MENTION$ What private info do you need?,What private info do you need?,what private info need,what private info need,[],{},{},0,0,[],,['Sound of Mind 😀'],0.0
21,2021-03-26,Fri Mar 26 22:30:00 +0000 2021,1375575791983939585,TriviaAD,"Bergen County, NJ",Not Geo-tagged,"b'Be sure to book your #virtual private, #corporate or #birthday #trivia #event with us! Email info [at] https://t.co/fXpcVd7L2K for more details! #Events #Event #TriviaNight #VirtualEvents https://t.co/v7pZiawGE0'","Be sure to book your $HASHTAG$ private, $HASHTAG$ or $HASHTAG$ $HASHTAG$ $HASHTAG$ with us! Email info [at] $URL$ for more details! $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $URL$","Be sure to book your private, or with us! Email info [at] for more details!",be sure book private email info details,be sure book private email info detail,[],{},{},0,0,"['virtual', 'corporate', 'birthday', 'trivia', 'event', 'Events', 'Event', 'TriviaNight', 'VirtualEvents']",http://triviaad.com,[],0.4374
25,2021-03-26,Fri Mar 26 22:03:18 +0000 2021,1375569071337435141,SweetiesSweeps,Connecticut,Not Geo-tagged,"b""@DaveDombkowski @cheezit I don't think there is a private message. They told us to send them a private message. I did that but haven't heard back. Glad you removed your info :)""",$MENTION$ $MENTION$ I don't think there is a private message. They told us to send them a private message. I did that but haven't heard back. Glad you removed your info :),I do not think there is a private message. They told us to send them a private message. I did that but have not heard back. Glad you removed your info ),think private message they told send private message heard back glad removed info,think private message tell send private message hear back glad removed info,[],{},{},0,0,[],,"['Dave Dombkowski', 'CHEEZ-IT']",-0.4973
8,2021-03-26,Fri Mar 26 23:39:21 +0000 2021,1375593245716152323,UR_Med,"Rochester, New York",Not Geo-tagged,"b'@missyjeanne66 @UofR Please send us a private message with your contact info, and we will ask our Patient Relations team to contact you.'","$MENTION$ $MENTION$ Please send us a private message with your contact info, and we will ask our Patient Relations team to contact you.","Please send us a private message with your contact info, and we will ask our Patient Relations team to contact you.",please send private message contact info ask patient relations team contact,please send private message contact info ask patient relation team contact,[],{},{},0,0,[],,"['melissa', 'University of Rochester']",0.3182
6,2021-03-26,Fri Mar 26 23:42:04 +0000 2021,1375593926439108608,spacebirdd,,Not Geo-tagged,"b""\xe2\x80\x9cIf, in fact, we are giving more than we are required to through FATCA or other negotiated settlements, that's something we need to understand ... because we are giving away precious private information of Canadians to another country.\xe2\x80\x9d \n#FATCA #IRS #CRS \nhttps://t.co/vJ77ZPKlfj""","If, in fact, we are giving more than we are required to through FATCA or other negotiated settlements, that's something we need to understand ... because we are giving away precious private information of Canadians to another country. $HASHTAG$ $HASHTAG$ $HASHTAG$ $URL$","If, in fact, we are giving more than we are required to through FATCA or other negotiated settlements, that's something we need to understand .. because we are giving away precious private information of Canadians to another country.",if fact giving required fatca negotiated settlements something need understand giving away precious private information canadians another country,if fact give require fatca negotiate settlement something need understand give away precious private information canadian another country,[],{},{},0,1,"['FATCA', 'IRS', 'CRS']",https://www.wealthprofessional.ca/news/industry-news/cras-info-gathering-activities-spark-privacy-concerns/354193#.YF5wjrph418.twitter,[],0.8176
17,2021-03-26,Fri Mar 26 23:02:36 +0000 2021,1375583997502296065,BigQueeninScot,,Not Geo-tagged,b'@dani74883738 Do you know the supplier that can do a HT-V4 with a 55mm scrotal ring \nmany thanks for any all info\nplease feel to private message me',$MENTION$ Do you know the supplier that can do a HT-V4 with a $NUMBER$mm scrotal ring many thanks for any all info please feel to private message me,Do you know the supplier that can do a HT-V4 with a mm scrotal ring many thanks for any all info please feel to private message me,do know supplier ht scrotal ring many thanks info please feel private message,do know supplier ht scrotal re many thank info please feel private message,[],{},{},0,0,[],,['permalocked · 3K'],0.6369
1,2021-03-26,Fri Mar 26 23:53:00 +0000 2021,1375596678657478660,CythixYouTube,YouTube,Not Geo-tagged,"b""@2__roman So someone giving out my phone number, attempting to get my real name and sharing another person's private info is not doxxing?""","$MENTION$ So someone giving out my phone number, attempting to get my real name and sharing another person's private info is not doxxing?","So someone giving out my phone number, attempting to get my real name and sharing another person's private info is not doxxing?",so someone giving phone number attempting get real name sharing another person private info doxxing,so someone give phone number attempt get real name share another person private info doxxe,[],{},{},0,0,[],,['Roman'],0.6983
47,2021-03-26,Fri Mar 26 20:52:06 +0000 2021,1375551154587848709,isarealboy7,,Not Geo-tagged,b'More and more info on these scumbags... Private recorded messages this time. https://t.co/8dEjFPMll7',More and more info on these scumbags... Private recorded messages this time. $URL$,More and more info on these scumbags.. Private recorded messages this time.,more info scumbags private recorded messages time,more info scumbag private record message time,[],{},{},0,0,[],https://twitter.com/jason_a_w/status/1375468419470921729,[],0.0
40,2021-03-26,Fri Mar 26 21:13:19 +0000 2021,1375556496004681734,SuperJodi_,Jamaica,Not Geo-tagged,b'Weh the journalist name weh did a turn over govt the other day when they had the private info leak? A him we need.',Weh the journalist name weh did a turn over govt the other day when they had the private info leak? A him we need.,Weh the journalist name weh did a turn over govt the other day when they had the private info leak? A him we need.,weh journalist name weh turn govt day private info leak need,weh journalist name weh turn govt day private info leak need,[],{},{},5,12,[],,[],-0.34
4,2021-03-26,Fri Mar 26 23:45:25 +0000 2021,1375594770362421261,SlREN2_,,Not Geo-tagged,b'@jimstewartson Bye. I never dox you. You posted private info on me. I know what it\xe2\x80\x99s like trying to have discussion w axis 2. I will see myself out. And off your tl. Gave you one last chance to make amends.',$MENTION$ Bye. I never dox you. You posted private info on me. I know what its like trying to have discussion w axis $NUMBER$. I will see myself out. And off your tl. Gave you one last chance to make amends.,Bye. I never dox you. You posted private info on me. I know what it s like trying to have discussion w axis . I will see myself out. And off your tl. Gave you one last chance to make amends.,bye never dox you posted private info know like trying discussion axis see and gave one last chance make amends,bye never dox post private info know like try discussion axi see and give one last chance make amend,[],{},{},0,0,[],,"['Jim Stewartson, QAnon Eliminator, #RIPQ 🇺🇸🏴\u200d☠️']",0.5423
