s_no,date,created_at,id_str,screen_name,user_location,geo-tagged_place,tweet_text,tweet_tokenized,tweet_cleaned,tweet_filtered,tweet_lemmatized,tweet_mentioned_organizations,tweet_tags_classified,tweet_orgs_classified,retweet_count,fav_count,hashtags,urls,mentions,vader_polarity
2,2021-01-26,Tue Jan 26 23:55:57 +0000 2021,1354216540082745359,GilliesThough,Jolie~Blanchett~Nimri ,Not Geo-tagged,b'Doing some research work for my professor and the amount of private info you can find about anyone is scary',Doing some research work for my professor and the amount of private info you can find about anyone is scary,Doing some research work for my professor and the amount of private info you can find about anyone is scary,doing research work professor amount private info find anyone scary,do research work professor amount private info find anyone scary,[],{},{},0,0,[],,[],-0.4939
17,2021-01-26,Tue Jan 26 23:02:52 +0000 2021,1354203181249654788,TeamYouTube,"San Bruno, CA",Not Geo-tagged,"b""@chaukidarOSHAN Following up \xe2\x80\x93 you may have missed our reply here: https://t.co/Qf0Wy6zOSK\n\nIt's also best to delete your tweet since it contains private info (email).""",$MENTION$ Following up you may have missed our reply here: $URL$ It's also best to delete your tweet since it contains private info (email).,Following up you may have missed our reply here It's also best to delete your tweet since it contains private info (email).,following may missed reply it also best delete tweet since contains private info email,follow may miss reply also good delete tweet since contain private info email,[],{},{},0,0,[],https://twitter.com/TeamYouTube/status/1354183719133847552,['Mr Rockstar'],0.4588
7,2021-01-26,Tue Jan 26 23:45:55 +0000 2021,1354214015044468736,Brian314159265,,Not Geo-tagged,"b'@try_no_spin @mattithyahu @flerfsareidiots @WalkInTruth4God @FullerBralyn @SciManDan @SpaceDraculaw @FlatEarthRT Your voice is already all over this thread, but a private company like Twitter can still act to diminish obvious harmful disinformation. \xf0\x9f\xa4\xb7\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\n\nWhich nugget of bad info was it?'","$MENTION$ $MENTION$ $MENTION$ $MENTION$ $MENTION$ $MENTION$ $MENTION$ $MENTION$ Your voice is already all over this thread, but a private company like Twitter can still act to diminish obvious harmful disinformation. $EMOJI$ Which nugget of bad info was it?","Your voice is already all over this thread, but a private company like Twitter can still act to diminish obvious harmful disinformation. Which nugget of bad info was it?",your voice already thread private company like twitter still act diminish obvious harmful disinformation which nugget bad info,voice already thread private company like twitter still act diminish obvious harmful disinformation which nugget bad info,[],{},{},0,2,[],,"['777 Man', 'Matt Jones', 'C₁₁ H₁₇ N₂ O₂ S Na 🐧👙🍺', 'Susan Unoura', 'PlayStation 5', 'SciManDan', 'Raluca Popescu', 'Flat Earth']",-0.3612
10,2021-01-26,Tue Jan 26 23:35:21 +0000 2021,1354211355989950464,Amica,"Headquarters in Lincoln, RI",Not Geo-tagged,"b'@602Erik We saw your tweet and would like to discuss your concerns with you. Please send us a private message with your contact info, and we\xe2\x80\x99ll reach out. Thanks. ^Kym'","$MENTION$ We saw your tweet and would like to discuss your concerns with you. Please send us a private message with your contact info, and well reach out. Thanks. ^Kym","We saw your tweet and would like to discuss your concerns with you. Please send us a private message with your contact info, and we ll reach out. Thanks. ^Kym",we saw tweet would like discuss concerns please send private message contact info reach thanks kym,see tweet would like discuss concern please send private message contact info reach thank kym,[],{},{},0,0,[],,['Mini Ice Boss'],0.7783
39,2021-01-26,Tue Jan 26 22:04:41 +0000 2021,1354188536241680384,mygvrses,she her,Not Geo-tagged,b'@HRRYSGIRLFRIEND not u putting their private info on the tl.....',$MENTION$ not u putting their private info on the tl.....,not u putting their private info on the tl..,putting private info,put private info,[],{},{},0,0,[],,['jojo siwa’s gf'],0.0
12,2021-01-26,Tue Jan 26 23:26:56 +0000 2021,1354209234557280262,WordEngineer,Between Detroit & Ann Arbor,Not Geo-tagged,b'Hacker publishes private info of 2.3MILLION dating app users online https://t.co/HBehLqZwbB',Hacker publishes private info of $NUMBER$MILLION dating app users online $URL$,Hacker publishes private info of MILLION dating app users online,hacker publishes private info million dating app users online,hacker publish private info million date app user online,[],{},{},1,0,[],https://www.the-sun.com/lifestyle/tech/2205015/meet-mindful-dating-site-leak-hacker?utm_source=twitter&utm_medium=social&utm_campaign=sharebarweb,[],0.0
27,2021-01-26,Tue Jan 26 22:36:04 +0000 2021,1354196435177070596,KatoKat01,"Victoria, British Columbia",Not Geo-tagged,b'@richardzussman Nope I\xe2\x80\x99m not comfortable putting that private info on the net.',$MENTION$ Nope Im not comfortable putting that private info on the net.,Nope I m not comfortable putting that private info on the net.,nope comfortable putting private info net,nope comfortable put private info net,[],{},{},0,0,[],,['Richard Zussman'],-0.4023
48,2021-01-26,Tue Jan 26 21:19:39 +0000 2021,1354177204670889989,Itznoobie1,,Not Geo-tagged,b'@TeamYouTube @TeamYouTube is there any way you can ip ban him for trying to leak my private info?',$MENTION$ $MENTION$ is there any way you can ip ban him for trying to leak my private info?,is there any way you can ip ban him for trying to leak my private info?,way ban trying leak private info,way ban try leak private info,[],{},{},0,0,[],,"['TeamYouTube', 'TeamYouTube']",-0.7184
5,2021-01-26,Tue Jan 26 23:53:14 +0000 2021,1354215855597477894,CalebFromHell,,Not Geo-tagged,"b""I treat wrestling like movie. I don't follow/search info bout private life of superstars,when their contracts expire etc. 2 not 2 spoil another episodes. When I saw @TheTayaValkyrie farewall w/@WeAreRosemary I thought:She can go 4 @shidahikaru's title,not leaving @IMPACTWRESTLING""","I treat wrestling like movie. I don't follow/search info bout private life of superstars,when their contracts expire etc. $NUMBER$ not $NUMBER$ spoil another episodes. When I saw $MENTION$ farewall w/$MENTION$ I thought:She can go $NUMBER$ $MENTION$'s title,not leaving $MENTION$","I treat wrestling like movie. I do not follow/search info bout private life of superstars,when their contracts expire etc. not spoil another episodes. When I saw farewall w/ I thought She can go 's title,not leaving",treat wrestling like movie follow search info bout private life superstars contracts expire etc spoil another episodes when saw farewall thought she title leaving,treat wrestling like movie follow search info bout private life superstar contract expire etc spoil another episode when see farewall think title leave,[],{},{},0,0,[],,"['Taya Valkyrie', 'Rosemary, The Demon Assassin', 'HIKARU SHIDA 志田 光', 'IMPACT']",0.6369
4,2021-01-26,Tue Jan 26 23:54:17 +0000 2021,1354216117481467904,KimBurley72,Tulsa,Not Geo-tagged,"b'@shaunking Shaun King, the individual on the right is the CEO of private prisons and he regularly goes to institution\xe2\x80\x99s and visit his workers staff and inmates. You gotta cut him some slack. I\xe2\x80\x99m grateful he\xe2\x80\x99s leading the way for his staff. Plus u don\xe2\x80\x99t know his medical info.'","$MENTION$ Shaun King, the individual on the right is the CEO of private prisons and he regularly goes to institutions and visit his workers staff and inmates. You gotta cut him some slack. Im grateful hes leading the way for his staff. Plus u dont know his medical info.","Shaun King, the individual on the right is the CEO of private prisons and he regularly goes to institution s and visit his workers staff and inmates. You gotta cut him some slack. I m grateful he s leading the way for his staff. Plus u don t know his medical info.",shaun king individual right ceo private prisons regularly goes institution visit workers staff inmates you got ta cut slack grateful leading way staff plus know medical info,shaun king individual right ceo private prison regularly go institution visit worker staff inmate get ta cut slack grateful leading way staff plus know medical info,[],{},{},0,17,[],,['Shaun King'],0.2263
30,2021-01-26,Tue Jan 26 22:27:01 +0000 2021,1354194158290923524,AimanK1_,"Miami, FL",Not Geo-tagged,"b'@mylighterr Bless you for this info, is the discord you\xe2\x80\x99re in private or could you slide me a link in the DM I would like to check it out'","$MENTION$ Bless you for this info, is the discord youre in private or could you slide me a link in the DM I would like to check it out","Bless you for this info, is the discord you re in private or could you slide me a link in the DM I would like to check it out",bless info discord private could slide link dm would like check,bless info discord private could slide link dm would like check,[],{},{},0,0,[],,['Beck'],0.3818
25,2021-01-26,Tue Jan 26 22:39:23 +0000 2021,1354197271609536512,serencharsales,United Kingdom,Not Geo-tagged,"b'+ in the groupchat, as i\xe2\x80\x99m sure some of you will probably agree,younger pictures &amp; private life info aren\xe2\x80\x99t always something you want post publicly. but anyways, this is why there was a bit of panic when it was discovered that someone had been taking ss\xe2\x80\x99s bc there were personal +'","+ in the groupchat, as im sure some of you will probably agree,younger pictures &amp; private life info arent always something you want post publicly. but anyways, this is why there was a bit of panic when it was discovered that someone had been taking sss bc there were personal +","+ in the groupchat, as i m sure some of you will probably agree,younger pictures &amp; private life info aren t always something you want post publicly. but anyways, this is why there was a bit of panic when it was discovered that someone had been taking ss s bc there were personal +",groupchat sure probably agree younger pictures private life info always something want post publicly anyways bit panic discovered someone taking bc personal,groupchat sure probably agree young picture private life info always something want post publicly anyways bit panic discover someone take bc personal,[],{},{},0,1,[],,[],-0.5647
22,2021-01-26,Tue Jan 26 22:42:14 +0000 2021,1354197987178778624,roywlewis,"Paoli, PA",Not Geo-tagged,"b'@donwinslow What info do you have about a meeting with 9 members of Trump family, Trump Campaign, Trump admin, &amp; Trump insurrectionists in Trump\xe2\x80\x99s private residence in the Trump Hotel on January 5? Is there a source besides Seth Abramson?'","$MENTION$ What info do you have about a meeting with $NUMBER$ members of Trump family, Trump Campaign, Trump admin, &amp; Trump insurrectionists in Trumps private residence in the Trump Hotel on January $NUMBER$? Is there a source besides Seth Abramson?","What info do you have about a meeting with members of Trump family, Trump Campaign, Trump admin, &amp; Trump insurrectionists in Trump s private residence in the Trump Hotel on January ? Is there a source besides Seth Abramson?",what info meeting members trump family trump campaign trump admin trump insurrectionists trump private residence trump hotel january is source besides seth abramson,what info meeting member trump family trump campaign trump admin trump insurrectionists trump private residence trump hotel january be source besides seth abramson,[],{},{},1,4,[],,['Don Winslow'],0.0
14,2021-01-26,Tue Jan 26 23:23:43 +0000 2021,1354208424456642562,weezmgk,"Scienceburg, Nerdtania",Not Geo-tagged,b'Daily Fail reveals how grievously underpaid Fauci is\n\nLike about $20mil less than equivalents in the private sector\n\nWonder how much plagiarism DF would have to commit to discover this not very secret info https://t.co/0gD1na3CE4',Daily Fail reveals how grievously underpaid Fauci is Like about $20mil less than equivalents in the private sector Wonder how much plagiarism DF would have to commit to discover this not very secret info $URL$,Daily Fail reveals how grievously underpaid Fauci is Like about $20mil less than equivalents in the private sector Wonder how much plagiarism DF would have to commit to discover this not very secret info,daily fail reveals grievously underpaid fauci like mil less equivalents private sector wonder much plagiarism df would commit discover secret info,daily fail reveal grievously underpaid fauci like mil less equivalent private sector wonder much plagiarism df would commit discover secret info,[],{},{},0,1,[],https://twitter.com/DailyMail/status/1353881868337377280,[],-0.3612
26,2021-01-26,Tue Jan 26 22:36:40 +0000 2021,1354196584213471232,grandted212,,Not Geo-tagged,b'Meet Mindful dating site leak as hacker publishes private info of 2.3MILLION users online https://t.co/zNsUMKZ7B3',Meet Mindful dating site leak as hacker publishes private info of $NUMBER$MILLION users online $URL$,Meet Mindful dating site leak as hacker publishes private info of MILLION users online,meet mindful dating site leak hacker publishes private info million users online,meet mindful date site leak hacker publish private info million user online,[],{},{},0,0,[],https://www.newsbreakapp.com/n/0YPbsfQ2?share_id=eyJ1c2VyaWQiOjQyMzYwNDgxLCJkb2NfaWQiOiIwWVBic2ZRMiIsInRpbWVzdGFtcCI6MTYxMTcwMDU5MDQ0OH0=&s=a2&pd=02rjtZ40&hl=en_US,[],-0.34
29,2021-01-26,Tue Jan 26 22:31:29 +0000 2021,1354195280086896642,UAVHive,Bradford // England,Not Geo-tagged,"b""Naturally @ProfiCNC said no.  They'll provide info to responsible governments to protect themselves from drone misbehaviour but not the private sector to simply profit from.""",Naturally $MENTION$ said no. They'll provide info to responsible governments to protect themselves from drone misbehaviour but not the private sector to simply profit from.,Naturally said no. They'll provide info to responsible governments to protect themselves from drone misbehaviour but not the private sector to simply profit from.,naturally said they provide info responsible governments protect drone misbehaviour private sector simply profit,naturally say provide info responsible government protect drone misbehaviour private sector simply profit,[],{},{},0,0,[],,['Philip Rowse'],0.743
37,2021-01-26,Tue Jan 26 22:06:28 +0000 2021,1354188985401135105,backup_review,Global,Not Geo-tagged,b'Axcient Direct-to-Cloud Now Enabling Private Cloud Deployment - #CloudBackup #CloudStorage #dataprotection #datasecurity #datamanagement #OnlineBackup #OnlineStorage @Axcient -\nhttps://t.co/q0OXnvyDkw',Axcient Direct-to-Cloud Now Enabling Private Cloud Deployment - $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $MENTION$ - $URL$,Axcient Direct-to-Cloud Now Enabling Private Cloud Deployment - -,axcient direct cloud now enabling private cloud deployment,axcient direct cloud now enable private cloud deployment,[],{},{},0,0,"['CloudBackup', 'CloudStorage', 'dataprotection', 'datasecurity', 'datamanagement', 'OnlineBackup', 'OnlineStorage']",http://www.backupreview.info/2021/01/26/axcient-direct-to-cloud-now-enabling-private-cloud-deployment/,['Axcient'],0.0
35,2021-01-26,Tue Jan 26 22:19:15 +0000 2021,1354192201366921216,TMKicks2,Looting 💰,Not Geo-tagged,"b'@RafUchiha So many bots get popular by just spamming fake giveaways, always curious to think about their intentions with everyone\xe2\x80\x99s private info \xf0\x9f\xa7\x90'","$MENTION$ So many bots get popular by just spamming fake giveaways, always curious to think about their intentions with everyones private info","So many bots get popular by just spamming fake giveaways, always curious to think about their intentions with everyone s private info",so many bots get popular spamming fake giveaways always curious think intentions everyone private info,so many bot get popular spamme fake giveaway always curious think intention everyone private info,[],{},{},0,0,[],,['effRafi'],-0.2732
13,2021-01-26,Tue Jan 26 23:25:16 +0000 2021,1354208815382736903,anxious_maria,"Laredo, TX",Not Geo-tagged,"b'More info on how Biden\xe2\x80\x99s order for the DOJ to stop contracting with private detention centers could impact places like the Rio Grande Detention Center in Laredo, which is run by GEO. It\xe2\x80\x99s used by both the US Marshals &amp; ICE to detain citizens &amp; noncitizens. https://t.co/CeGYQyRQjN'","More info on how Bidens order for the DOJ to stop contracting with private detention centers could impact places like the Rio Grande Detention Center in Laredo, which is run by GEO. Its used by both the US Marshals &amp; ICE to detain citizens &amp; noncitizens. $URL$","More info on how Biden s order for the DOJ to stop contracting with private detention centers could impact places like the Rio Grande Detention Center in Laredo, which is run by GEO. It s used by both the US Marshals &amp; ICE to detain citizens &amp; noncitizens.",more info biden order doj stop contracting private detention centers could impact places like rio grande detention center laredo run geo it used us marshals ice detain citizens noncitizens,more info biden order doj stop contract private detention center could impact place like rio grande detention center laredo run geo use us marshal ice detain citizen noncitizen,[],{},{},3,5,[],https://twitter.com/crimmigration/status/1354204371840421888,[],-0.7579
11,2021-01-26,Tue Jan 26 23:30:41 +0000 2021,1354210178632015874,Naohli_FFXIV,Shirogane Residential District,Not Geo-tagged,"b""Hey all! Saturday I'll be sending info on a private PF to gather you guys in alliances so if you could make your DMs available for that night I'd appreciate it! Thanks again!\n\n@gocrazygoferal @nocturnalmoose @Veil_Of_Tears @AriaCloureed @GogoZozoFFXIV @ninetyninebirds @Laidlines""",Hey all! Saturday I'll be sending info on a private PF to gather you guys in alliances so if you could make your DMs available for that night I'd appreciate it! Thanks again! $MENTION$ $MENTION$ $MENTION$ $MENTION$ $MENTION$ $MENTION$ $MENTION$,Hey all! Saturday I'll be sending info on a private PF to gather you guys in alliances so if you could make your DMs available for that night I'd appreciate it! Thanks again!,hey saturday sending info private pf gather guys alliances could make dms available night appreciate thanks,hey saturday send info private pf gather guy alliance could make dms available night appreciate thank,[],{},{},0,6,[],,"['crown ♚ prince', 'MelodiousMoose * 5.4 Spoilers *', 'Ophelia (♡´❍`♡)*✧ ✰ ｡*', ""A'ria Arin | FF14 5.4 spoilers"", 'Gogo Zozo 🐟', 'a lot of birds', '🔞Leylines are kissing distance🔞']",0.7562
