s_no,date,created_at,id_str,screen_name,user_location,geo-tagged_place,tweet_text,tweet_tokenized,tweet_cleaned,tweet_filtered,tweet_lemmatized,tweet_mentioned_organizations,tweet_tags_classified,tweet_orgs_classified,retweet_count,fav_count,hashtags,urls,mentions,vader_polarity
1,1/9/2021,Sat Jan 09 23:59:57 +0000 2021,1.35E+18,ValarieRMiller,Los Angeles,Not Geo-tagged,b'@KaylaZampino Sure. Let me try. (Don\xe2\x80\x99t put private info on here.)',$MENTION$ Sure. Let me try. (Dont put private info on here.),Sure. Let me try. (Don t put private info on here.),sure let try don put private info,sure let try don put private info,[],{},{},0,1,[],,['Kayla Zampino'],0.3182
15,1/9/2021,Sat Jan 09 23:19:13 +0000 2021,1.35E+18,Kilowatt_stan,,Not Geo-tagged,b'@peachytoko this is the classified info we get from following the private acount https://t.co/jgPb7tRuQP',$MENTION$ this is the classified info we get from following the private acount $URL$,this is the classified info we get from following the private acount,classified info get following private acount,classify info get follow private acount,[],{},{},0,0,[],,['benadu🍃'],0
35,1/9/2021,Sat Jan 09 22:29:34 +0000 2021,1.35E+18,illuminatwt,she : they: lc: earth1420,Not Geo-tagged,b'@aIexphobe i will go on private browsing mode so they cannot steal my Info',$MENTION$ i will go on private browsing mode so they cannot steal my Info,i will go on private browsing mode so they cannot steal my Info,private browsing mode steal info,private browsing mode steal info,[],{},{},0,0,[],,['alex⁷︎ SOCKIE DAY'],0.4389
11,1/9/2021,Sat Jan 09 23:28:38 +0000 2021,1.35E+18,eclair182,,Not Geo-tagged,"b""@jhilbrand @RNAiAnalyst very helpful interview, @RNAiAnalyst! But I have to agree with @jhilbrand: she meant finishing enrollment. She shouldn't have private access to PPD team info anyway. Also, don't cos want to announce significant results on their own instead of giving away publicity to #JPM21?""","$MENTION$ $MENTION$ very helpful interview, $MENTION$! But I have to agree with $MENTION$: she meant finishing enrollment. She shouldn't have private access to PPD team info anyway. Also, don't cos want to announce significant results on their own instead of giving away publicity to $HASHTAG$?","very helpful interview, ! But I have to agree with she meant finishing enrollment. She should not have private access to PPD team info anyway. Also, do not cos want to announce significant results on their own instead of giving away publicity to ?",helpful interview but agree meant finishing enrollment she private access ppd team info anyway also cos want announce significant results instead giving away publicity,helpful interview but agree mean finish enrollment private access ppd team info anyway also cos want announce significant result instead give away publicity,[],{},{},0,2,['JPM21'],,"['Joachim Hilbrand', 'Dirk Haussecker', 'Dirk Haussecker', 'Joachim Hilbrand']",0.861
20,1/9/2021,Sat Jan 09 23:03:09 +0000 2021,1.35E+18,_ilonaaaaaaa_,,Not Geo-tagged,b'@jjkdoIlz girl why are you spreading private info like that',$MENTION$ girl why are you spreading private info like that,girl why are you spreading private info like that,girl spreading private info like,girl spread private info like,[],{},{},0,0,[],,['A⁷'],0.3612
3,1/9/2021,Sat Jan 09 23:44:19 +0000 2021,1.35E+18,Juliette_Sin,New York,Not Geo-tagged,"b'@marcorubio Do you realize how stupid this sounds? He can call a press conference, go on info wars, News Max, and many more. He just can\xe2\x80\x99t send out his every thought on a private company\xe2\x80\x99s platform, inciting more violence. Boo hoo. https://t.co/cd3qcaTJSr'","$MENTION$ Do you realize how stupid this sounds? He can call a press conference, go on info wars, News Max, and many more. He just cant send out his every thought on a private companys platform, inciting more violence. Boo hoo. $URL$","Do you realize how stupid this sounds? He can call a press conference, go on info wars, News Max, and many more. He just can t send out his every thought on a private company s platform, inciting more violence. Boo hoo.",do realize stupid sounds he call press conference info wars news max many he send every thought private company platform inciting violence boo hoo,do realize stupid sound call press conference info war news max many send every thought private company platform incite violence boo hoo,[],{},{},0,0,[],,['Marco Rubio'],-0.908
21,1/9/2021,Sat Jan 09 23:03:01 +0000 2021,1.35E+18,cbcfifth,Canada,Not Geo-tagged,b'Sask. privacy commissioner worries stolen private health info could be used \xe2\x80\x98for nefarious purposes.\xe2\x80\x99 https://t.co/vT3pPWATfR',Sask. privacy commissioner worries stolen private health info could be used for nefarious purposes. $URL$,Sask. privacy commissioner worries stolen private health info could be used for nefarious purposes.,sask privacy commissioner worries stolen private health info could used nefarious purposes,sask privacy commissioner worry steal private health info could use nefarious purpose,[],{},{},1,2,[],https://www.cbc.ca/1.5867152,[],-0.7184
12,1/9/2021,Sat Jan 09 23:28:30 +0000 2021,1.35E+18,RamN58770680,,Not Geo-tagged,"b'@vfsglobalcare Hi, \n\nI private messaged you my contact info, following is what I was trying to do:\n\n1. Indian Passport Renewal (from within California)\n2. OCI renewal for my kid'","$MENTION$ Hi, I private messaged you my contact info, following is what I was trying to do: $NUMBER$. Indian Passport Renewal (from within California) $NUMBER$. OCI renewal for my kid","Hi, I private messaged you my contact info, following is what I was trying to do . Indian Passport Renewal (from within California) . OCI renewal for my kid",hi private messaged contact info following trying indian passport renewal within california oci renewal kid,hi private message contact info follow try indian passport renewal within california oci renewal kid,[],{},{},0,0,[],,['@vfsglobalcare'],0
32,1/9/2021,Sat Jan 09 22:39:41 +0000 2021,1.35E+18,tyongonlyfans,"Indianapolis, IN",Not Geo-tagged,b'why are these bitches leaking addresses. people\xe2\x80\x99s private info. disgusting',why are these bitches leaking addresses. peoples private info. disgusting,why are these bitches leaking addresses. people s private info. disgusting,bitches leaking addresses people private info disgusting,bitch leak address people private info disgust,[],{},{},0,0,[],,[],-0.8074
17,1/9/2021,Sat Jan 09 23:16:50 +0000 2021,1.35E+18,daddy_woody,,Not Geo-tagged,"b""@imXmei Ooooh, I won't ask where you're from, that's private info but nice to know you're in the UK""","$MENTION$ Ooooh, I won't ask where you're from, that's private info but nice to know you're in the UK","Oooh, I wo not ask where you're from, that's private info but nice to know you're in the UK",oooh ask private info nice know uk,oooh ask private info nice know uk,[],{},{},0,1,[],,['Mei ♡'],0.5719
33,1/9/2021,Sat Jan 09 22:35:54 +0000 2021,1.35E+18,pizzahut,United States,Not Geo-tagged,"b""@chanelrefa Thank you for reaching out. Would you mind sending us a private message with your contact info and the store's address so we can look into this? https://t.co/PQtSXiQxeo""",$MENTION$ Thank you for reaching out. Would you mind sending us a private message with your contact info and the store's address so we can look into this? $URL$,Thank you for reaching out. Would you mind sending us a private message with your contact info and the store's address so we can look into this?,thank reaching would mind sending private message contact info store address look,thank reach would mind send private message contact info store address look,[],{},{},0,0,[],https://twitter.com/messages/compose?recipient_id=11018442,['Chanel'],0.5106
42,1/9/2021,Sat Jan 09 22:18:28 +0000 2021,1.35E+18,JBlazeOG,SoapBoxLand,Not Geo-tagged,"b""@MattBinder Let's go trump 2024 he can sell your private info as campaign  finance.\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xe2\x98\xa0\xe2\x98\xa0\xe2\x98\xa0\xe2\x98\xa0""",$MENTION$ Let's go trump $NUMBER$ he can sell your private info as campaign finance.$EMOJI$$EMOJI$$EMOJI$$EMOJI$$EMOJI$$EMOJI$$EMOJI$$EMOJI$$EMOJI$$EMOJI$$EMOJI$$EMOJI$,Let's go trump he can sell your private info as campaign finance.,let trump sell private info campaign finance,let trump sell private info campaign finance,[],{},{},0,0,[],,['Matt Binder'],0
